time_period,location,disease_cases,population,location_name,rainfall,mean_temperature,mean_relative_humidity
1998-01,TH-10,1586,6539064,Bangkok,0.3116106710138008,28.087827748875103,65.14544960923598
1998-02,TH-10,1258,6539064,Bangkok,0.5329081615826823,29.12224792724981,68.15960982205077
1998-03,TH-10,1169,6539064,Bangkok,0.559352388043736,30.18106944613776,62.78747520757759
1998-04,TH-10,433,6539064,Bangkok,1.316591085355008,30.88688870027418,67.52557696981171
1998-05,TH-10,302,6539064,Bangkok,4.651634431326124,30.58927914068829,71.41721625571515
1998-06,TH-10,437,6539064,Bangkok,4.116844042661448,29.31801002114665,75.25491787683511
1998-07,TH-10,583,6539064,Bangkok,4.169166285597293,29.067300175584208,74.98895988133597
1998-08,TH-10,710,6539064,Bangkok,6.6519993203607575,28.26482568727477,78.651819677586
1998-09,TH-10,887,6539064,Bangkok,8.618677560325104,27.248457420427464,82.76212113846222
1998-10,TH-10,910,6539064,Bangkok,6.279481954786896,27.06363624133406,81.00897059179493
1998-11,TH-10,772,6539064,Bangkok,2.667920942236534,26.368329059541637,72.9639873494528
1998-12,TH-10,518,6539064,Bangkok,0.2928134848971772,25.78584263674076,61.45076760602493
1999-01,TH-10,466,6539064,Bangkok,0.8443800554154616,26.38275077093948,61.50557834669931
1999-02,TH-10,384,6539064,Bangkok,0.960618549881292,26.97674538081809,65.65378472747965
1999-03,TH-10,406,6539064,Bangkok,2.1722422136442967,29.119082597829067,66.1770448147216
1999-04,TH-10,263,6539064,Bangkok,7.251987007640801,28.41474017947933,77.96458790155194
1999-05,TH-10,374,6539064,Bangkok,7.318697000304789,27.473560290606464,82.95218680477487
1999-06,TH-10,654,6539064,Bangkok,5.258994275365349,27.46964105792326,80.30734984240942
1999-07,TH-10,611,6539064,Bangkok,6.286276085629576,27.934243169984175,76.59191565375727
1999-08,TH-10,554,6539064,Bangkok,6.344017280906261,27.30362657998764,81.09069229981277
1999-09,TH-10,383,6539064,Bangkok,7.382138822138753,27.2308801817954,81.38823194813044
1999-10,TH-10,312,6539064,Bangkok,7.759239988946622,26.380044524766365,84.04747243490559
1999-11,TH-10,275,6539064,Bangkok,2.9330287730514875,25.495771195741693,77.49638544432855
1999-12,TH-10,176,6539064,Bangkok,0.1858054890781507,23.267257812731163,56.46834832681945
2000-01,TH-10,185,6539064,Bangkok,0.3556531117309933,26.797770385484323,63.27173459432675
2000-02,TH-10,107,6539064,Bangkok,1.4934837829409031,26.462818728777936,63.77146632169583
2000-03,TH-10,165,6539064,Bangkok,1.3674460270261717,28.997003108814035,63.47852147504329
