rank,tier,combination,kind,fork,child,our_model,skill_score,crps_ours,crps_reference,mae_ours,coverage_10_90_ours,coverage_25_75_ours,n_cells,n_locations,n_splits,paired_mean_diff_vs_reference,paired_se_cluster_split,resolvable_difference_floor,beats_reference,beats_all_baselines,candidate_exists,delta_skill_vs_main,delta_skill_additive,interaction,conclusion_file,why_not
18,1,features_richCalendar,candidate,analysis/03_models/03_candidate/b_boosted/01_features,b_richCalendar,ensemble,0.14870925964197335,18.812202876010783,22.098446493261456,23.474393530997304,0.8598382749326146,0.7601078167115903,371,16,8,-3.286243617250673,1.7617648816596558,0.565277280323451,True,True,True,0.000211,,,analysis/results/features_richCalendar/conclusion.json,
19,1,autoregressive_lag3,candidate,analysis/03_models/03_candidate/a_hierNB/05_autoregressive,b_lag3,ensemble,0.14866690116197523,18.813138932614557,22.098446493261456,23.32749326145553,0.8598382749326146,0.7574123989218329,371,16,8,-3.2853075606468987,1.7310056806672174,0.565277280323451,True,True,True,0.000169,,,analysis/results/autoregressive_lag3/conclusion.json,
20,1,head_quantileEnsemble,candidate,analysis/03_models/03_candidate/b_boosted/02_head,b_quantileEnsemble,ensemble,0.15033166210971804,18.77635030188679,22.098446493261456,23.69946091644205,0.8382749326145552,0.77088948787062,371,16,8,-3.3220961913746634,1.794036156957156,0.565277280323451,True,True,True,0.001834,,,analysis/results/head_quantileEnsemble/conclusion.json,
21,1,population_covariate,candidate,analysis/03_models/03_candidate/a_hierNB/03_population,b_covariate,ensemble,0.14722761080859093,18.844945013477087,22.098446493261456,23.28301886792453,0.8598382749326146,0.7574123989218329,371,16,8,-3.253501479784366,1.7086880228580474,0.565277280323451,True,True,True,-0.00127,,,analysis/results/population_covariate/conclusion.json,
22,1,covariates_lagged,candidate,analysis/03_models/03_candidate/a_hierNB/02_covariates,a_lagged,ensemble,0.14849338431175885,18.816973385444744,22.098446493261456,23.212938005390836,0.862533692722372,0.7520215633423181,371,16,8,-3.281473107816711,1.7106208403407317,0.565277280323451,True,True,True,-5e-06,,,analysis/results/covariates_lagged/conclusion.json,
23,1,yearVariance_shared,candidate,analysis/03_models/03_candidate/a_hierNB/06_yearVariance,a_shared,ensemble,0.1474297468358744,18.840478121293803,22.098446493261456,23.18867924528302,0.8598382749326146,0.7574123989218329,371,16,8,-3.257968371967654,1.701183334917136,0.565277280323451,True,True,True,-0.001068,,,analysis/results/yearVariance_shared/conclusion.json,
24,1,population_ignored,candidate,analysis/03_models/03_candidate/a_hierNB/03_population,c_ignored,ensemble,0.14653542520994445,18.860241239892183,22.098446493261456,23.285714285714285,0.8598382749326146,0.7520215633423181,371,16,8,-3.2382052533692716,1.7140110700588866,0.565277280323451,True,True,True,-0.001963,,,analysis/results/population_ignored/conclusion.json,
25,2,provinces_reportingOnly__family_hierNB,pair,analysis/02_setup/03_provinces+analysis/03_models/03_candidate,b_reportingOnly+a_hierNB,hier_nb,-0.0049307829535640835,23.602404148247977,23.486596836927227,27.646900269541774,0.7035040431266847,0.5849056603773585,371,16,8,0.115807311320755,1.3896500379564956,0.4019630646900274,False,True,True,-0.153429,-0.183325,0.029896,analysis/results/provinces_reportingOnly__family_hierNB/conclusion.json,
26,2,provinces_reportingOnly__weighting_crpsWeighted,pair,analysis/02_setup/03_provinces+analysis/03_models/03_candidate/c_ensemble/01_weighting,b_reportingOnly+b_crpsWeighted,ensemble,0.046499946013921045,22.5798717574124,23.681038782345013,27.09299191374663,0.7304582210242587,0.5983827493261455,371,16,8,-1.101167024932615,1.2991429441132023,1.2612293530997307,True,True,True,-0.101998,-0.144426,0.042428,analysis/results/provinces_reportingOnly__weighting_crpsWeighted/conclusion.json,
27,2,provinces_mergeVientiane__family_hierNB,pair,analysis/02_setup/03_provinces+analysis/03_models/03_candidate,c_mergeVientiane+a_hierNB,hier_nb,-0.05088341023893661,23.656004010781672,22.51058850134771,27.66846361185984,0.7008086253369272,0.5822102425876011,371,16,8,1.1454155094339624,1.344827109063507,0.9627265606468989,False,True,True,-0.199381,-0.198001,-0.00138,analysis/results/provinces_mergeVientiane__family_hierNB/conclusion.json,
28,2,provinces_mergeVientiane__weighting_crpsWeighted,pair,analysis/02_setup/03_provinces+analysis/03_models/03_candidate/c_ensemble/01_weighting,c_mergeVientiane+b_crpsWeighted,ensemble,-0.028457999379137178,23.09191011590296,22.4529442425876,27.432614555256063,0.7250673854447439,0.5902964959568733,371,16,8,0.6389658733153643,1.4002483326005437,0.8799533584905659,False,True,True,-0.176956,-0.159102,-0.017854,analysis/results/provinces_mergeVientiane__weighting_crpsWeighted/conclusion.json,
29,2,provinces_reportingOnly__aggregate_caseWeighted,pair,analysis/02_setup/03_provinces+analysis/04_score/02_aggregate,b_reportingOnly+c_caseWeighted,ensemble,0.16621933165524527,89.2793940886014,107.07779333123833,124.24399967455862,0.693108778781222,0.4255146041819217,371,16,8,-17.79839924263689,11.355852830685455,1.8460354214465884,True,False,True,0.017721,0.12107,-0.103349,analysis/results/provinces_reportingOnly__aggregate_caseWeighted/conclusion.json,
30,2,provinces_mergeVientiane__aggregate_caseWeighted,pair,analysis/02_setup/03_provinces+analysis/04_score/02_aggregate,c_mergeVientiane+c_caseWeighted,ensemble,0.22392968864027973,90.41046637564072,116.49777739498414,127.96220811976242,0.6932714994711577,0.4346269628183223,371,16,8,-26.08731101934342,9.558446380633889,4.837286954600916,True,False,True,0.075432,0.106394,-0.030962,analysis/results/provinces_mergeVientiane__aggregate_caseWeighted/conclusion.json,
31,2,family_hierNB__aggregate_caseWeighted,pair,analysis/03_models/03_candidate+analysis/04_score/02_aggregate,a_hierNB+c_caseWeighted,hier_nb,0.025673749873381335,112.25809567553496,115.21612566729722,140.89480107395656,0.4575705800992596,0.2909445936050769,371,16,8,-2.958029991762266,13.797085646833374,5.502194828980555,True,False,True,-0.122824,-0.137361,0.014537,analysis/results/family_hierNB__aggregate_caseWeighted/conclusion.json,
32,2,weighting_crpsWeighted__aggregate_caseWeighted,pair,analysis/03_models/03_candidate/c_ensemble/01_weighting+analysis/04_score/02_aggregate,b_crpsWeighted+c_caseWeighted,ensemble,0.0617664464707095,108.09963500870556,115.21612566729722,139.57432267512814,0.4682287852900496,0.3193393539988609,371,16,8,-7.116490658591653,12.898674991284016,5.502194828980555,True,False,True,-0.086732,-0.098462,0.01173,analysis/results/weighting_crpsWeighted__aggregate_caseWeighted/conclusion.json,
33,0,family_ensemble,held,analysis/03_models/03_candidate,c_ensemble,,,,,,,,,,,,,,,,,,,,,"the main path's own choice, run under its own name; the same analysis as `main`"
