combination,tier,kind,fork,child,our_model,weighting,skill_score,delta_skill_vs_main,inside_reference_noise_band,crps_ours,crps_reference,coverage_10_90_ours,coverage_25_75_ours,beats_reference,beats_all_baselines,paired_mean_diff_vs_reference,paired_se_cluster_split,resolvable_difference_floor,interaction
trainingWindow_from2004,1,setup,analysis/02_setup/02_trainingWindow,b_from2004,ensemble,a_unweighted,0.12662283892090997,-0.021875,False,18.75066177897574,21.46914599393531,0.8355795148247979,0.6307277628032345,True,True,-2.718484214959569,1.246639628532917,0.09748572776280336,
persistence_negBinomialFloor,1,baseline,analysis/03_models/01_baselines/01_persistence,b_negBinomialFloor,ensemble,a_unweighted,0.12056545328384405,-0.027933,False,19.434137274932613,22.098446493261456,0.816711590296496,0.6738544474393531,True,True,-2.6643092183288393,1.3509959300480603,0.565277280323451,
weighting_crpsWeighted__aggregate_caseWeighted,2,pair,analysis/03_models/03_candidate/c_ensemble/01_weighting+analysis/04_score/02_aggregate,b_crpsWeighted+c_caseWeighted,ensemble,c_caseWeighted,0.0617664464707095,-0.086732,False,108.09963500870556,115.21612566729722,0.4682287852900496,0.3193393539988609,True,False,-7.116490658591653,12.898674991284016,5.502194828980555,0.01173
family_boosted,1,family,analysis/03_models/03_candidate,b_boosted,boosted,a_unweighted,0.06006624717854736,-0.088432,False,20.77107574393531,22.098446493261456,0.8247978436657682,0.692722371967655,True,True,-1.3273707493261455,1.110491565496499,0.565277280323451,
provinces_reportingOnly__weighting_crpsWeighted,2,pair,analysis/02_setup/03_provinces+analysis/03_models/03_candidate/c_ensemble/01_weighting,b_reportingOnly+b_crpsWeighted,ensemble,a_unweighted,0.046499946013921045,-0.101998,False,22.5798717574124,23.681038782345013,0.7304582210242587,0.5983827493261455,True,True,-1.101167024932615,1.2991429441132023,1.2612293530997307,0.042428
family_hierNB__aggregate_caseWeighted,2,pair,analysis/03_models/03_candidate+analysis/04_score/02_aggregate,a_hierNB+c_caseWeighted,hier_nb,c_caseWeighted,0.025673749873381335,-0.122824,False,112.25809567553496,115.21612566729722,0.4575705800992596,0.2909445936050769,True,False,-2.958029991762266,13.797085646833374,5.502194828980555,0.014537
provinces_reportingOnly__family_hierNB,2,pair,analysis/02_setup/03_provinces+analysis/03_models/03_candidate,b_reportingOnly+a_hierNB,hier_nb,a_unweighted,-0.0049307829535640835,-0.153429,False,23.602404148247977,23.486596836927227,0.7035040431266847,0.5849056603773585,False,True,0.115807311320755,1.3896500379564956,0.4019630646900274,0.029896
provinces_mergeVientiane__weighting_crpsWeighted,2,pair,analysis/02_setup/03_provinces+analysis/03_models/03_candidate/c_ensemble/01_weighting,c_mergeVientiane+b_crpsWeighted,ensemble,a_unweighted,-0.028457999379137178,-0.176956,False,23.09191011590296,22.4529442425876,0.7250673854447439,0.5902964959568733,False,True,0.6389658733153643,1.4002483326005437,0.8799533584905659,-0.017854
weighting_crpsWeighted,1,candidate,analysis/03_models/03_candidate/c_ensemble/01_weighting,b_crpsWeighted,ensemble,a_unweighted,-0.03348106839131715,-0.181979,False,22.838326091644205,22.098446493261456,0.7250673854447439,0.5902964959568733,False,True,0.7398795983827496,1.5273112703469969,0.565277280323451,
provinces_mergeVientiane__family_hierNB,2,pair,analysis/02_setup/03_provinces+analysis/03_models/03_candidate,c_mergeVientiane+a_hierNB,hier_nb,a_unweighted,-0.05088341023893661,-0.199381,False,23.656004010781672,22.51058850134771,0.7008086253369272,0.5822102425876011,False,True,1.1454155094339624,1.344827109063507,0.9627265606468989,-0.00138
family_hierNB,1,family,analysis/03_models/03_candidate,a_hierNB,hier_nb,a_unweighted,-0.07237973364538375,-0.220878,False,23.697926164420487,22.098446493261456,0.7008086253369272,0.5822102425876011,False,True,1.59947967115903,1.551286701344703,0.565277280323451,
