time_period,month,location,disease_cases,rainfall,mean_relative_humidity
1998-01,1,LA-AT,0.0,0.034701496868528,54.26804950368924
1998-02,2,LA-AT,0.0,0.5321882220022358,54.752289156961055
1998-03,3,LA-AT,0.0,0.0663597114872538,47.79878112814404
1998-04,4,LA-AT,0.0,1.8620180051489412,59.91127342796232
1998-05,5,LA-AT,0.0,9.406301773025938,79.37273147856791
1998-06,6,LA-AT,0.0,8.7381605016143,88.4158101686902
1998-07,7,LA-AT,0.0,6.445856420802583,86.14820242108966
1998-08,8,LA-AT,1.0,9.532227418231647,87.77521383341453
1998-09,9,LA-AT,0.0,12.121327411124554,91.60151008947292
1998-10,10,LA-AT,0.0,5.189759095907104,87.33033093633892
1998-11,11,LA-AT,0.0,4.778485098840438,81.96511582272903
1998-12,12,LA-AT,0.0,1.1714725511059905,76.82971401813622
1999-01,1,LA-AT,0.0,0.2751905147013326,66.81470180220539
1999-02,2,LA-AT,0.0,0.0283375832548444,53.952542255681855
1999-03,3,LA-AT,0.0,2.349216318016705,66.73398424257938
1999-04,4,LA-AT,0.0,5.991278835798648,78.75882683963684
1999-05,5,LA-AT,0.0,8.624191692581203,89.82369923927857
1999-06,6,LA-AT,0.0,9.054417784511775,89.47470603651476
1999-07,7,LA-AT,0.0,16.11370218777626,91.28996540186776
1999-08,8,LA-AT,0.0,9.374957682953893,89.34650622026595
1999-09,9,LA-AT,0.0,10.641243525663306,90.70021466752809
1999-10,10,LA-AT,2.0,7.150105778938045,87.89079998078275
1999-11,11,LA-AT,0.0,5.144154060088105,81.20175201714541
1999-12,12,LA-AT,0.0,2.258092919291892,75.37333197245194
2000-01,1,LA-AT,0.0,0.2081143546704448,65.3599123489287
2000-02,2,LA-AT,0.0,0.7627462610498863,58.56295722177728
2000-03,3,LA-AT,0.0,0.724441035610579,57.16248776905561
2000-04,4,LA-AT,0.0,4.4143060539031564,76.73935978925843
2000-05,5,LA-AT,0.0,8.993930810352653,85.39088869001138
2000-06,6,LA-AT,0.0,8.876156428140463,88.15731221558404
2000-07,7,LA-AT,0.0,14.724663132092871,91.03404652105884
2000-08,8,LA-AT,0.0,12.219742957560657,89.43170277213959
2000-09,9,LA-AT,0.0,8.541615680410144,89.80354720462303
2000-10,10,LA-AT,0.0,9.19727167568313,88.54703762289309
2000-11,11,LA-AT,0.0,2.2012995404110467,77.23075238296003
2000-12,12,LA-AT,0.0,0.3262655885587035,69.93059888533769
2001-01,1,LA-AT,0.0,0.1112098489261648,58.423316276864085
2001-02,2,LA-AT,0.0,0.2780999949141659,52.34761379066567
2001-03,3,LA-AT,0.0,3.107010228744697,62.7762183659905
2001-04,4,LA-AT,0.0,1.6832616487966805,66.55455618018779
2001-05,5,LA-AT,0.0,11.938954386988945,84.3401811785072
2001-06,6,LA-AT,0.0,12.991669183611425,89.91375379361817
2001-07,7,LA-AT,0.0,10.341215109198084,89.50740415391796
2001-08,8,LA-AT,0.0,14.311657025991444,91.95942888248317
2001-09,9,LA-AT,0.0,8.456245786065088,89.66718782676263
2001-10,10,LA-AT,0.0,5.508762973904568,85.18243647724819
2001-11,11,LA-AT,0.0,1.2717505758401169,74.0982708027672
2001-12,12,LA-AT,0.0,0.9145289146907852,69.77390870187412
2002-01,1,LA-AT,0.0,0.0275876129815898,57.5964651237519
2002-02,2,LA-AT,0.0,0.0150289893786752,50.3163992008653
2002-03,3,LA-AT,0.0,1.820877575312588,54.75574538632851
2002-04,4,LA-AT,0.0,1.9282680721267604,63.74207286582911
2002-05,5,LA-AT,0.0,8.654115431856534,75.32434096540193
