time_period,total_cases,provinces_observed,provinces_expected,year,month,mean_cases_per_reporting_province
2008-07,460,15,18,2008,7,30.667
2008-08,426,15,18,2008,8,28.4
2008-09,538,15,18,2008,9,35.867
2008-10,473,15,18,2008,10,31.533
2008-11,485,15,18,2008,11,32.333
2008-12,369,15,18,2008,12,24.6
2009-01,91,16,18,2009,1,5.688
2009-02,143,16,18,2009,2,8.938
2009-03,190,16,18,2009,3,11.875
2009-04,260,16,18,2009,4,16.25
2009-05,364,16,18,2009,5,22.75
2009-06,665,16,18,2009,6,41.562
2009-07,1139,16,18,2009,7,71.188
2009-08,1177,15,18,2009,8,78.467
2009-09,1410,16,18,2009,9,88.125
2009-10,1006,16,18,2009,10,62.875
2009-11,832,16,18,2009,11,52.0
2009-12,527,16,18,2009,12,32.938
