model,weighting,n_cells,mean_crps,mae,coverage_10_90,coverage_25_75,n_locations,n_splits,observed_total
reference,unweighted,371,22.51058850134771,29.242924528301888,0.816711590296496,0.6118598382749326,16,8,12291.0
hier_nb,unweighted,371,23.656004010781672,27.66846361185984,0.7008086253369272,0.5822102425876011,16,8,12291.0
climatology,unweighted,371,24.336908636118597,30.61994609164421,0.6495956873315364,0.5417789757412399,16,8,12291.0
persistence,unweighted,371,24.879338288409706,29.07277628032345,0.6657681940700808,0.490566037735849,16,8,12291.0
