province,split,month,actual,stage1_mean,stage1_se,stage2_correction,stage2_abstained,final_mean,final_se,crps,fit_failed,error
LA-AT,0,2008-01,4.0,4.103908898730386,19.410750502675594,-4.650280876921839,False,-0.5463719781914529,19.410750502675594,4.959076318609584,False,
LA-AT,0,2008-02,2.0,4.80212191253651,19.7734184426588,-6.276191204787154,False,-1.4740692922506442,19.7734184426588,4.863827652226524,False,
LA-AT,0,2008-03,0.0,4.920911443366263,19.80435544110605,0.8621198060947305,False,5.7830312494609935,19.80435544110605,5.297122357792199,False,
LA-BK,0,2008-01,1.0,0.48063019598686724,1.8765424473141747,-2.5002116600193105,False,-2.019581464032443,1.8765424473141747,2.0462264478848122,False,
LA-BK,0,2008-02,0.0,0.6566622021558151,2.0044092923989947,-2.555804317197684,False,-1.8991421150418688,2.0044092923989947,1.137035382108201,False,
LA-BK,0,2008-03,0.0,0.7211343627786801,2.023108843930076,-2.2247249412273913,False,-1.5035905784487111,2.023108843930076,0.8991598958829131,False,
LA-BL,0,2008-01,10.0,4.52523927927731,32.065831760355195,-5.346571311918764,False,-0.8213320326414539,32.065831760355195,8.936850340410182,False,
LA-BL,0,2008-02,7.0,10.184473297785225,38.4783743655274,-4.056537339237439,False,6.127935958547786,38.4783743655274,9.00008727427723,False,
LA-BL,0,2008-03,1.0,17.08526817597907,41.01550710425417,-2.36181416519901,False,14.72345401078006,41.01550710425417,11.4000630803795,False,
LA-CH,0,2008-01,73.0,46.73807088172603,63.99224745934991,-24.41747348511059,False,22.32059739661544,63.99224745934991,30.179460560062516,False,
LA-CH,0,2008-02,90.0,63.30020081407488,78.41293171869822,0.7249091358929597,False,64.02510994996784,78.41293171869822,21.72631242021795,False,
LA-CH,0,2008-03,92.0,72.93081324990386,84.96319096100622,0.14254585160418343,False,73.07335910150805,84.96319096100622,21.530551139321187,False,
LA-HO,0,2008-01,0.0,0.22977145642942476,0.9715574422454025,-2.407160842373591,False,-2.177389385944166,0.9715574422454025,1.6376881538381318,False,
LA-HO,0,2008-02,0.0,0.2819942462421852,0.9731845766686849,-2.21361861516341,False,-1.9316243689212247,0.9731845766686849,1.3997728852040878,False,
LA-HO,0,2008-03,0.0,0.27845345331962607,0.9732329777448774,-1.9494616637639626,False,-1.6710082104443365,0.9732329777448774,1.1560712166639504,False,
LA-KH,0,2008-01,0.0,11.415042490769233,65.73653641897177,-5.335356300265151,False,6.0796861905040815,65.73653641897177,15.58645737472,False,
LA-KH,0,2008-02,0.0,9.297809215219308,112.23066276083395,-2.5722935121631845,False,6.725515703056123,112.23066276083395,26.38848063306674,False,
LA-KH,0,2008-03,0.0,9.69050830037127,141.56548222396952,-2.750378165343907,False,6.940130135027363,141.56548222396952,33.21884874306114,False,
LA-LM,0,2008-01,0.0,0.18600980006598797,0.7133236539002743,-2.48364554846225,False,-2.297635748396262,0.7133236539002743,1.8954303761931068,False,
LA-LM,0,2008-02,0.0,0.1865466001665297,0.7133455148264882,-2.3695531298699284,False,-2.1830065297033987,0.7133455148264882,1.7809844340847705,False,
LA-LM,0,2008-03,0.0,0.18654814930183247,0.7133455695394665,-2.514527584753736,False,-2.3279794354519034,0.7133455695394665,1.9257257743623384,False,
LA-LP,0,2008-01,0.0,13.964317614138109,38.80613269509383,-4.671665589212112,False,9.292652024925996,38.80613269509383,9.952327013285247,False,
LA-LP,0,2008-02,16.0,16.537906969492333,40.45489214609463,-6.136420747957313,False,10.40148622153502,40.45489214609463,9.762702439485286,False,
LA-LP,0,2008-03,22.0,17.272788234862777,40.61413467786925,-6.997800771576243,False,10.274987463286534,40.61413467786925,10.832408868726468,False,
LA-OU,0,2008-01,0.0,0.002038092365757095,0.5712735250673434,-2.48364554846225,False,-2.481607456096493,0.5712735250673434,2.1593025668192825,False,
LA-OU,0,2008-02,0.0,0.0007828058355482215,0.6007935752838246,-2.3695531298699284,False,-2.3687703240343803,0.6007935752838246,2.0298198967982177,False,
LA-OU,0,2008-03,0.0,0.001555952479635101,0.7349383831127196,-2.678436246601107,False,-2.676880294121472,0.7349383831127196,2.262284070850306,False,
LA-PH,0,2008-01,,0.03749040424662971,0.388467396929649,-2.407160842373591,False,-2.3696704381269615,0.388467396929649,,False,
LA-PH,0,2008-02,,0.037262431085092335,0.38845290623213985,-2.3869028544890045,False,-2.3496404234039123,0.38845290623213985,,False,
LA-PH,0,2008-03,,0.03726381735348356,0.3884530375009129,-2.251601872429894,False,-2.2143380550764107,0.3884530375009129,,False,
LA-SL,0,2008-01,0.0,7.1019642786888655,13.195504782771753,-2.943911081394837,False,4.158053197294029,13.195504782771753,3.6021545219139894,False,
LA-SL,0,2008-02,1.0,7.1577980365530856,14.723273757946362,-3.577527157252719,False,3.5802708793003664,14.723273757946362,3.620694717186606,False,
LA-SL,0,2008-03,5.0,7.17912400828643,15.117977741805367,-0.5464943706693353,False,6.632629637617095,15.117977741805367,3.6032654602338647,False,
LA-SV,0,2008-01,1.0,-11.485014460641358,218.57726293087973,-8.14133139711712,False,-19.62634585775848,218.57726293087973,51.856347448140184,False,
LA-SV,0,2008-02,1.0,-19.622384647363237,333.8632680799089,-9.984000324992278,False,-29.606384972355514,333.8632680799089,79.14073453635595,False,
LA-SV,0,2008-03,1.0,-14.902385928129892,419.5674617069116,-0.054180882550241345,False,-14.956566810680133,419.5674617069116,98.29287500057276,False,
LA-VT,0,2008-01,29.0,22.13084382532213,155.4562732467316,-47.28417563573702,False,-25.15333181041489,155.4562732467316,43.7799517252171,False,
LA-VT,0,2008-02,12.0,16.420554944247673,225.65272403392328,-3.7629984508934755,False,12.657556493354198,225.65272403392328,52.73467263643121,False,
LA-VT,0,2008-03,26.0,19.472313008862173,279.17942127827797,1.2814944414039868,False,20.75380745026616,279.17942127827797,65.28215654874585,False,
LA-XA,0,2008-01,0.0,12.007580844264966,44.4086430753409,-4.980919920513669,False,7.026660923751297,44.4086430753409,10.820701689825245,False,
LA-XA,0,2008-02,0.0,15.559567206370208,46.788416373047404,-6.319203424248408,False,9.2403637821218,46.788416373047404,11.659891772481032,False,
LA-XA,0,2008-03,0.0,16.705741583381936,47.06933971147554,-6.811115522914874,False,9.894626060467061,47.06933971147554,11.826620857212017,False,
LA-XE,0,2008-01,0.0,0.8473909514443554,2.0896358377178466,-2.472430536808638,False,-1.6250395853642827,2.0896358377178466,0.9685454310574043,False,
LA-XE,0,2008-02,0.0,0.8817870312997993,2.094279522424567,-2.21361861516341,False,-1.3318315838636106,2.094279522424567,0.8163686618144137,False,
LA-XE,0,2008-03,0.0,0.8537362673134745,2.0962835743286568,0.0,True,0.8537362673134745,2.0962835743286568,0.6267149614031841,False,
LA-XI,0,2008-01,0.0,0.037978971073608384,0.23596314892168488,-2.450060170749709,False,-2.4120811996761007,0.23596314892168488,2.278953248953358,False,
LA-XI,0,2008-02,0.0,0.037937028850090995,0.23596090195477482,-2.1970525036063497,False,-2.1591154747562586,0.23596090195477482,2.0259887917488415,False,
LA-XI,0,2008-03,0.0,0.03793707516914767,0.23596090459240027,-1.9494616637639626,False,-1.9115245885948149,0.23596090459240027,1.7783979040992772,False,
LA-XN,0,2008-01,,1.9227034658482431,4.134660339860258,0.0,True,1.9227034658482431,4.134660339860258,,False,
LA-XN,0,2008-02,,1.9265079357685868,4.13941642457591,0.0,True,1.9265079357685868,4.13941642457591,,False,
LA-XN,0,2008-03,,1.9264506066802944,4.144190197606953,0.0,True,1.9264506066802944,4.144190197606953,,False,
LA-AT,1,2008-04,0.0,3.669853073058782,19.13792957457747,0.7301770586377923,False,4.400030131696575,19.13792957457747,4.874246643011095,False,
LA-AT,1,2008-05,4.0,4.339198631912654,19.494041883477173,6.124169644746907,False,10.463368276659562,19.494041883477173,5.402834163387442,False,
LA-AT,1,2008-06,10.0,4.448858213599773,19.522349784421518,14.357312278277382,False,18.806170491877154,19.522349784421518,6.120659842111159,False,
LA-BK,1,2008-04,0.0,0.473294023990439,1.8533074055003906,0.14917999460803266,False,0.6224740185984716,1.8533074055003906,0.51574078137134,False,
LA-BK,1,2008-05,12.0,0.6463410728300799,1.9790222486855704,2.39838312170447,False,3.04472419453455,1.9790222486855704,7.838734496506181,False,
LA-BK,1,2008-06,53.0,0.7096110056714757,1.9972994809545028,22.711094745501438,False,23.420705751172914,1.9972994809545028,28.452438686447216,False,
LA-BL,1,2008-04,3.0,10.296096808465538,31.656424755814268,-2.236766710718824,False,8.059330097746715,31.656424755814268,7.719840214934004,False,
LA-BL,1,2008-05,15.0,13.528545564122764,37.996204476750165,3.9282396010421023,False,17.456785165164867,37.996204476750165,8.94287306332533,False,
LA-BL,1,2008-06,19.0,20.25950459931389,40.50708719474455,10.180221784100532,False,30.43972638341442,40.50708719474455,10.746677851899195,False,
LA-CH,1,2008-04,69.0,97.98646907627938,63.17242882385317,1.2177591816363706,False,99.20422825791574,63.17242882385317,20.417051492718247,False,
LA-CH,1,2008-05,113.0,97.9433190208146,77.31302752312375,37.42054248888242,False,135.36386150969702,77.31302752312375,20.63060034809612,False,
LA-CH,1,2008-06,295.0,108.29910248010837,83.71027054794273,55.09485406435911,False,163.39395654446747,83.71027054794273,88.5314745761415,False,
LA-HO,1,2008-04,0.0,0.29014350504451,0.9590509815578375,-1.7931196415743489,False,-1.5029761365298389,0.9590509815578375,1.0100398054656445,False,
LA-HO,1,2008-05,0.0,0.2703392103541706,0.9606989261079935,0.90745421557215,False,1.1777934259263205,0.9606989261079935,0.7379537349421984,False,
LA-HO,1,2008-06,0.0,0.2716909900127283,0.9607464409443158,1.9535485297568047,False,2.225239519769533,0.9607464409443158,1.6899061769298078,False,
LA-KH,1,2008-04,0.0,-2.0160646936810735,64.83970614058596,-2.3781136647624646,False,-4.394178358443538,64.83970614058596,15.271470377942721,False,
LA-KH,1,2008-05,0.0,-1.6485657315570967,110.65924839557128,1.500844331220132,False,-0.14772140033696468,110.65924839557128,25.860589206864507,False,
LA-KH,1,2008-06,1.0,-1.6439896140204615,139.62586125540102,23.82043272410358,False,22.176443110083117,139.62586125540102,33.90871027259827,False,
LA-LM,1,2008-04,0.0,0.16600586883794743,0.7042880118519302,-2.322173489904227,False,-2.1561676210662792,0.7042880118519302,1.7592481469289891,False,
LA-LM,1,2008-05,0.0,0.17257669615790514,0.7050884167233377,2.804304089908835,False,2.97688078606674,0.7050884167233377,2.5790809281148537,False,
LA-LM,1,2008-06,0.0,0.1728367819727678,0.7050995204432439,1.9213042919077148,False,2.0941410738804827,0.7050995204432439,1.696930203374466,False,
LA-LP,1,2008-04,33.0,18.877355187647154,38.29165137978832,-3.9217470772522813,False,14.955608110394873,38.29165137978832,12.279429059475632,False,
LA-LP,1,2008-05,116.0,18.102771419400455,39.92139329047611,4.709393181793892,False,22.812164601194347,39.92139329047611,70.9288923246753,False,
LA-LP,1,2008-06,160.0,17.79040337715438,40.07855954834676,4.312714066968151,False,22.10311744412253,40.07855954834676,115.2909029001624,False,
LA-OU,1,2008-04,0.0,4.0827751593962237e-07,0.5633573293146457,-2.129295734221108,False,-2.129295325943592,0.5633573293146457,1.811475898982682,False,
LA-OU,1,2008-05,0.0,-0.010784164695711676,0.5924660086086837,1.4061401888797482,False,1.3953560241840366,0.5924660086086837,1.0647795546708014,False,
LA-OU,1,2008-06,0.0,3.1169234951389235e-07,0.7247477635997234,1.5864455004775746,False,1.586445812169924,0.7247477635997234,1.1848599622823615,False,
LA-PH,1,2008-04,,0.037263806389440456,0.3884530341822674,-1.207363578438589,False,-1.1700997720491486,0.3884530341822674,,False,
LA-PH,1,2008-05,,0.037263806440704525,0.3884530341995679,1.2750843057549899,False,1.3123481121956944,0.3884530341995679,,False,
LA-PH,1,2008-06,,0.03726380644039279,0.38845303421199473,5.601954413810737,False,5.63921822025113,0.38845303421199473,,False,
LA-SL,1,2008-04,2.0,5.698058027008456,13.025327792893624,1.2508911360194217,False,6.948949163027878,13.025327792893624,3.7852067203706423,False,
LA-SL,1,2008-05,105.0,6.025438329304205,14.536195232205829,4.606301107288707,False,10.631739436592913,14.536195232205829,86.16709062916166,False,
LA-SL,1,2008-06,226.0,6.174285523348434,14.921832157101784,14.616700241189267,False,20.7909857645377,14.921832157101784,196.7902719649775,False,
LA-SV,1,2008-04,0.0,6.134848383008844,215.5552457286874,1.5970541521575752,False,7.7319025351664195,215.5552457286874,50.48480945460263,False,
LA-SV,1,2008-05,1.0,21.4969700231047,329.25670049461996,16.941566820788406,False,38.438536843893104,329.25670049461996,78.64210489757714,False,
LA-SV,1,2008-06,10.0,53.563041180923975,413.7805186935503,14.66262906222035,False,68.22567024314432,413.7805186935503,99.96170050166475,False,
LA-VT,1,2008-04,4.0,18.685443161432634,153.31154803778543,1.7809775825108651,False,20.466420743943498,153.31154803778543,36.53302069607767,False,
LA-VT,1,2008-05,17.0,19.081639603228,222.5285107848952,18.524074509175602,False,37.605714112403604,222.5285107848952,52.76445351914425,False,
LA-VT,1,2008-06,60.0,36.16065182233108,275.30948330428737,48.931776496438545,False,85.09242831876963,275.30948330428737,65.2501892672844,False,
LA-XA,1,2008-04,0.0,11.326357840841244,43.83059131038296,-6.3797776253385186,False,4.946580215502725,43.83059131038296,10.465464562004,False,
