model,against,n_cells,mean_crps_model,mean_crps_against,mean_diff,skill_score,sd_diff_cell,se_cell_naive,se_cluster_location,se_cluster_split,mean_diff_by_split,se_split_level,cells_model_better,cells_model_worse,cells_tied,splits_model_better,n_splits,win_rate_cells
ensemble,reference,371,19.434137274932613,22.098446493261452,-2.6643092183288393,0.12056545328384394,17.30633052740434,0.8984999123633197,2.3447670089683488,1.3509959300480605,-2.626238291743313,1.434116855507275,156,215,0,6,8,0.42048517520215634
ensemble,reference_r1,371,19.434137274932613,21.91740396495957,-2.4832666900269524,0.11330113246975215,17.450404752217175,0.9059798734193715,2.324246271196193,1.3633485605598796,-2.44546807979462,1.4491783679302637,158,213,0,7,8,0.42587601078167114
ensemble,reference_r2,371,19.434137274932613,22.27197036657682,-2.8378330916442045,0.12741724440792612,16.931139159154306,0.8790209470818973,2.2750084790056944,1.2114145280592699,-2.811185555208333,1.2810221001413873,173,198,0,8,8,0.46630727762803237
ensemble,reference_r3,371,19.434137274932613,22.38484446091644,-2.950707185983826,0.13181718511092233,18.803161195060838,0.9762114885742592,2.469355021890394,1.5877211638307103,-2.9016029174460685,1.6872043675648878,158,213,0,6,8,0.42587601078167114
ensemble,reference_r4,371,19.434137274932613,21.81956718059299,-2.3854299056603754,0.10932526231693784,17.36591332948443,0.9015932973164471,2.3577072211156773,1.2863496211589829,-2.3466966145242294,1.3689414540206712,152,219,0,7,8,0.40970350404312667
persistence,reference,371,20.698014636118597,22.098446493261452,-1.4004318571428565,0.06337241206389299,22.718129947687032,1.1794665388328742,1.8183240379397578,1.4237538052208967,-1.3934100646932241,1.4906213378675999,192,179,0,5,8,0.5175202156334232
persistence,reference_r1,371,20.698014636118597,21.91740396495957,-1.2193893288409683,0.055635664278053665,22.942141869001063,1.1910966583056461,1.855250209793344,1.4274921636970723,-1.2126398527445317,1.498356687137157,184,187,0,5,8,0.49595687331536387
persistence,reference_r2,371,20.698014636118597,22.27197036657682,-1.573955730458221,0.07066980175315929,21.918630441473848,1.1379585926434976,1.7026872689361483,1.355103083685903,-1.5783573281582444,1.4149376677466692,198,173,0,6,8,0.5336927223719676
persistence,reference_r3,371,20.698014636118597,22.38484446091644,-1.6868298247978426,0.07535588767404755,24.2072601915403,1.256778328959675,1.8991986521642295,1.5363296778758222,-1.6687746903959797,1.610128487403173,188,183,0,5,8,0.5067385444743935
persistence,reference_r4,371,20.698014636118597,21.81956718059299,-1.1215525444743912,0.05140122786083212,22.80288674650995,1.1838668925759164,1.8760887502056762,1.4404828196997643,-1.113868387474141,1.5110271356842555,184,187,0,5,8,0.49595687331536387
climatology,reference,371,24.3369086361186,22.098446493261452,2.238462142857143,-0.1012950002408417,25.739915854197868,1.3363498462377232,2.683630189161409,1.9190299889005367,2.3253633878038205,2.05801756383212,165,206,0,2,8,0.444743935309973
climatology,reference_r1,371,24.3369086361186,21.91740396495957,2.419504671159031,-0.11039193670140923,25.690853334973948,1.3338026471562536,2.61820734997174,1.9231621771177558,2.5061335997525136,2.062064396059445,153,218,0,2,8,0.4123989218328841
climatology,reference_r2,371,24.3369086361186,22.27197036657682,2.064938269541778,-0.0927146649153503,25.78012982262699,1.338437651451667,2.7484386428169345,1.83387575526875,2.1404161243388002,1.9678165286772817,175,196,0,3,8,0.4716981132075472
climatology,reference_r3,371,24.3369086361186,22.38484446091644,1.9520641752021568,-0.0872047236517739,26.900096158665786,1.396583406450815,2.7669280403969783,2.0994136946496926,2.0499987621010645,2.2496526394383944,167,204,0,3,8,0.4501347708894879
climatology,reference_r4,371,24.3369086361186,21.81956718059299,2.517341455525608,-0.11537082448475933,25.499028829957943,1.3238436150741437,2.6429568772818697,1.8607933181674792,2.604905065022903,1.9978555840190177,162,209,0,2,8,0.4366576819407008
