split,intercept,h1,h2,h3,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,level_log,pred_negative,level_log_x_h,log_train_mean,r_last,r_last3,nat_last3,cum12_anom,zero_frac24
0,0.0088377996028668,-0.013516804651222087,0.0009514171331891624,0.012636157045461253,-0.06600283549012792,-0.05347174572986781,-0.04696147342736569,-0.052277352239542926,0.0026845140434501973,0.043149433831383706,0.12259541261072776,0.07240549972472364,0.04141726137680047,0.021565224086213666,-0.058693405980249844,-0.034053746212365614,-0.2113401795251679,-0.02250472238120637,-0.0523301869503806,0.05670494759695443,0.0705316288074159,-0.03477691898181134,0.003831842641410732,0.022037310017497314,-0.0862132279660486
1,0.00379519840824695,-0.013434457335834009,0.0009590309029884679,0.012543764547615905,-0.06573988519043801,-0.05432781236686305,-0.04889349291504516,-0.05058276432464138,0.004251352167766815,0.044771666864671995,0.12335308224040194,0.07271408490241156,0.042716283638037665,0.022354609777800998,-0.05716183308705588,-0.03235482823030371,-0.21017634645540867,-0.022696673205614335,-0.05167620999946556,0.057563923258633264,0.07021812631990536,-0.035064196320471,0.003573397562889001,0.020922023271164738,-0.08595139749657779
2,0.010545798383029619,-0.013224899006307288,0.001065096969313282,0.012224932163423413,-0.06354221388818942,-0.05374708997945407,-0.04909683314862009,-0.053983135931907386,0.011084260259823326,0.06440752035339811,0.11368455198253703,0.062149280090347994,0.036723887621180354,0.014854148528546687,-0.05318451318210895,-0.029267580382261783,-0.21967410899910436,-0.011568072063999544,-0.05809419875898222,0.032539628743970525,0.06790522214018872,-0.03163608758286681,-0.0021735340507732983,0.022517124977361042,-0.11421933527745254
3,0.010859213400804596,-0.012083877159373698,0.0010240984485085241,0.011117586870939214,-0.06748850675045351,-0.055905308795150925,-0.050528192060651275,-0.05504078161994624,0.011082801760173906,0.06624465078970422,0.1031836131583318,0.05861993692500744,0.04913921694266654,0.016830204337120482,-0.053953873493890366,-0.03254634818169644,-0.20372433828735845,-0.01954036563771359,-0.043728370098542295,0.04563840712539846,0.06228857631956604,-0.02277277966067435,-0.016287796913441097,0.020515194238177048,-0.09220674868327931
4,0.013451251164274636,-0.012987969928664442,0.0009687807771668779,0.012080046137270142,-0.06823231757028404,-0.057014220462916085,-0.051787043802714074,-0.05634409583060671,0.007881579147739105,0.06369263190464661,0.0993310458788403,0.05658056522989603,0.04529642817937528,0.02622793274481512,-0.04174585454902223,-0.0310348387366464,-0.19960038448031028,-0.017042141308214923,-0.04637842609528891,0.03564793485025894,0.06142937528656102,-0.02045284983939486,-0.020584398494892107,0.03010657983395616,-0.1017518418469752
5,0.009385422678032147,-0.014359239041885578,0.0008958019677211587,0.01352933914251255,-0.07316772593408828,-0.054539578771966774,-0.04694253381608346,-0.05521167501730229,0.008341319926107113,0.0641418926601298,0.09953527137633011,0.05713649978829062,0.045109377341549524,0.0265535399882093,-0.04071892234730522,-0.02876292190136054,-0.20096548650145774,-0.01773698818708974,-0.05544805638105875,0.026465262834883624,0.06521096268130226,-0.02106381889133888,-0.017523649101730994,0.033062421006735725,-0.11527723537454453
6,0.024290112536931852,-0.013252295683674826,0.0011980991021680707,0.012112567685596091,-0.0723680183596895,-0.053619234931130584,-0.04501213651633379,-0.04669611411313027,0.01809265560198412,0.07436963523714092,0.09401530290994752,0.04722617591548781,0.03640451165644485,0.018385967180684665,-0.04403510718764336,-0.027487137842920437,-0.19025711336441697,0.00920988226035199,-0.04971597740503794,0.0016446960523306023,0.07146086578945363,-0.038233670010627566,-0.012366496005426017,0.04151933868634307,-0.12112740750996231
7,0.03177077134711165,-0.010760503701119738,0.00044070821248221503,0.010367221787103864,-0.06738924375684169,-0.049419377755029074,-0.04024594242917182,-0.04271172175410346,0.014750675644061094,0.06682848798104989,0.10473531974144969,0.05058688985766221,0.033524099448444616,0.0038939271590592807,-0.05614629644282589,-0.027831573486766608,-0.22357830848579868,0.0005965924575610417,-0.03125486507008411,-0.0011787654785300164,0.06067700304998738,-0.028317819964850548,0.016392705766455008,0.048593202216732016,-0.13739019292668891
