model,weighting,location,n_cells,mean_crps,mae,coverage_10_90,coverage_25_75,observed_total
reference_r1,cases,LA-BK,24,101.74080438834952,123.25404530744336,0.15318230852211434,0.10248112189859762,927.0
reference_r1,cases,LA-BL,24,13.798680486842105,20.18421052631579,0.7894736842105263,0.32456140350877194,228.0
reference_r1,cases,LA-CH,24,65.32431619292471,82.85026737967914,0.9424105306458248,0.3965446318387495,2431.0
reference_r1,cases,LA-HO,24,0.7605271666666669,1.0,0.5,0.5,6.0
reference_r1,cases,LA-KH,24,157.0441510056818,191.9090909090909,0.21875,0.14678030303030304,1056.0
reference_r1,cases,LA-LM,24,3.01196752173913,4.086956521739131,0.43478260869565216,0.21739130434782608,23.0
reference_r1,cases,LA-LP,24,123.9720435741018,150.2675898203593,0.32335329341317365,0.0,1336.0
reference_r1,cases,LA-OU,24,10.596959528301886,13.471698113207546,0.41509433962264153,0.1320754716981132,53.0
reference_r1,cases,LA-PH,11,,,,,0.0
reference_r1,cases,LA-SL,24,78.59118178694159,104.27422680412371,0.6481099656357389,0.10652920962199312,1455.0
reference_r1,cases,LA-SV,24,24.043536874999983,19.364583333333332,1.0,0.7135416666666666,192.0
reference_r1,cases,LA-VT,24,180.36986256973296,278.1405449150256,0.7237658483949285,0.17399514432155383,3707.0
reference_r1,cases,LA-XA,24,10.644707592,16.24,1.0,0.44,125.0
reference_r1,cases,LA-XE,24,14.6370611372549,17.284313725490197,0.2647058823529412,0.18627450980392157,102.0
reference_r1,cases,LA-XI,24,31.813322904761907,32.285714285714285,0.13095238095238096,0.011904761904761904,84.0
reference_r2,cases,LA-AT,24,35.25884740106007,47.090106007067135,0.3833922261484099,0.10600706713780919,566.0
reference_r2,cases,LA-BK,24,101.18670001941749,122.87001078748652,0.15318230852211434,0.0970873786407767,927.0
reference_r2,cases,LA-BL,24,14.340359057017544,21.359649122807017,0.9035087719298246,0.18421052631578946,228.0
reference_r2,cases,LA-CH,24,74.54313135088442,113.83052241875771,0.9424105306458248,0.14273961332784862,2431.0
