model,weighting,location,n_cells,mean_crps,mae,coverage_10_90,coverage_25_75,observed_total
reference_r1,cases,LA-AT,24,51.31589062367491,69.13427561837456,0.5459363957597173,0.18197879858657243,566.0
reference_r1,cases,LA-BK,24,72.28005715857604,103.90129449838187,0.5577130528586839,0.31607335490830635,927.0
reference_r1,cases,LA-BL,24,11.883492482456141,11.366228070175438,0.9517543859649122,0.7280701754385965,228.0
reference_r1,cases,LA-CH,24,69.259202,68.49197860962566,0.8951048951048951,0.8753599341834636,2431.0
reference_r1,cases,LA-HO,24,0.7929970000000001,1.0,0.5,0.0,6.0
reference_r1,cases,LA-KH,24,147.10920091287878,179.79166666666666,0.1553030303030303,0.14583333333333334,1056.0
reference_r1,cases,LA-LM,24,2.8182942608695654,3.869565217391304,0.43478260869565216,0.043478260869565216,23.0
reference_r1,cases,LA-LP,24,127.53625488772455,151.58420658682635,0.27320359281437123,0.02470059880239521,1336.0
reference_r1,cases,LA-OU,24,12.826715113207548,14.132075471698114,0.1320754716981132,0.018867924528301886,53.0
reference_r1,cases,LA-PH,11,,,,,0.0
reference_r1,cases,LA-SL,24,64.5807390604811,62.12680412371134,0.738831615120275,0.6735395189003437,1455.0
reference_r1,cases,LA-SV,24,22.825046614583332,25.5390625,0.3177083333333333,0.3072916666666667,192.0
reference_r1,cases,LA-VT,24,169.57314308983004,210.73024008632316,0.6857297005664958,0.5033719989209603,3707.0
reference_r1,cases,LA-XA,24,11.658605512,16.04,0.392,0.144,125.0
reference_r1,cases,LA-XE,24,10.949733156862743,15.205882352941176,0.3627450980392157,0.23529411764705882,102.0
reference_r1,cases,LA-XI,24,32.32064233333333,32.80952380952381,0.13095238095238096,0.11904761904761904,84.0
reference_r2,cases,LA-AT,24,53.33915457597173,71.93639575971731,0.508833922261484,0.05830388692579505,566.0
reference_r2,cases,LA-BK,24,71.22573843797196,100.55447680690399,0.5566343042071198,0.3106796116504854,927.0
reference_r2,cases,LA-BL,24,11.972057934210527,11.717105263157896,0.9254385964912281,0.7324561403508771,228.0
reference_r2,cases,LA-CH,24,71.14251802838339,67.51851090086384,0.9424105306458248,0.8235294117647058,2431.0
reference_r2,cases,LA-HO,24,0.7863951666666668,1.0,0.5,0.0,6.0
reference_r2,cases,LA-KH,24,142.59353965625,177.7376893939394,0.1553030303030303,0.14583333333333334,1056.0
reference_r2,cases,LA-LM,24,2.830787652173913,3.869565217391304,0.43478260869565216,0.043478260869565216,23.0
reference_r2,cases,LA-LP,24,127.3267343974551,151.27919161676647,0.37200598802395207,0.02470059880239521,1336.0
reference_r2,cases,LA-OU,24,12.806164113207545,14.132075471698114,0.1320754716981132,0.018867924528301886,53.0
reference_r2,cases,LA-PH,11,,,,,0.0
reference_r2,cases,LA-SL,24,65.95916749072165,62.4,0.7353951890034365,0.7353951890034365,1455.0
reference_r2,cases,LA-SV,24,22.421236286458335,25.416666666666668,0.3333333333333333,0.3177083333333333,192.0
reference_r2,cases,LA-VT,24,163.05136261370382,206.04572430536822,0.6787159428108983,0.5209063933099541,3707.0
reference_r2,cases,LA-XA,24,11.024571120000001,15.4,0.504,0.2,125.0
reference_r2,cases,LA-XE,24,9.985370049019608,14.686274509803921,0.6274509803921569,0.23529411764705882,102.0
reference_r2,cases,LA-XI,24,32.5481115,33.07142857142857,0.11904761904761904,0.11904761904761904,84.0
reference_r3,cases,LA-AT,24,52.1893436130742,70.9196113074205,0.5,0.05830388692579505,566.0
reference_r3,cases,LA-BK,24,69.22559546925567,100.64509169363538,0.5566343042071198,0.3106796116504854,927.0
reference_r3,cases,LA-BL,24,11.295855815789473,10.357456140350877,0.9254385964912281,0.7324561403508771,228.0
reference_r3,cases,LA-CH,24,72.82158067914439,64.02077334430275,0.9621554915672563,0.8453311394487865,2431.0
reference_r3,cases,LA-HO,24,0.7661408333333334,1.0,0.5,0.0,6.0
reference_r3,cases,LA-KH,24,145.2727458285985,178.68655303030303,0.1553030303030303,0.08806818181818182,1056.0
reference_r3,cases,LA-LM,24,2.8374405217391305,3.869565217391304,0.43478260869565216,0.043478260869565216,23.0
reference_r3,cases,LA-LP,24,125.84428135254491,150.4449850299401,0.3615269461077844,0.04940119760479042,1336.0
reference_r3,cases,LA-OU,24,12.767823773584906,14.132075471698114,0.1320754716981132,0.018867924528301886,53.0
reference_r3,cases,LA-PH,11,,,,,0.0
reference_r3,cases,LA-SL,24,64.75623455189003,56.863230240549825,0.7525773195876289,0.7353951890034365,1455.0
reference_r3,cases,LA-SV,24,22.826760781249998,25.2578125,0.3333333333333333,0.234375,192.0
reference_r3,cases,LA-VT,24,167.21652274723496,219.15996762881036,0.713514971675209,0.4912328028055031,3707.0
reference_r3,cases,LA-XA,24,11.238026143999999,15.552,0.656,0.144,125.0
reference_r3,cases,LA-XE,24,10.083159843137256,14.656862745098039,0.3627450980392157,0.24509803921568626,102.0
