combination,tier,status,stage1_mean_crps,two_stage_mean_crps,pct_change_vs_stage1,stage1_coverage_90,two_stage_coverage_90,beats_stage1_on_crps,coverage_not_worse,n_splits_improved,n_splits,share_cells_improved,n_cells,informativeness_rank,reason_if_not_run
stage2=no_winsorisation@h,2,run,26.052787630892947,24.340113174651453,-6.573862576650471,0.8274932614555256,0.8652291105121294,True,True,6,8,0.5309973045822103,371,6,
stage2=depth2@h,2,run,26.052787630892947,24.549718311072606,-5.769322427662317,0.8274932614555256,0.8490566037735849,True,True,6,8,0.5741239892183289,371,7,
stage2=depth4_300trees@h,2,run,26.052787630892947,24.534906714356744,-5.826174680579387,0.8274932614555256,0.8544474393530997,True,True,6,8,0.5525606469002695,371,7,
stage2=zclip5@h,2,run,26.052787630892947,24.2500600805673,-6.919518847142491,0.8274932614555256,0.8571428571428571,True,True,6,8,0.5336927223719676,371,7,
stage1=enforce_stationarity@h,2,run,26.80453721515349,24.08150896932451,-10.158833275023168,0.8328840970350404,0.8463611859838275,True,True,6,8,0.5741239892183289,371,8,
stage2=lr0.1@h,2,run,26.052787630892947,24.371863578782815,-6.45199306855333,0.8274932614555256,0.8571428571428571,True,True,6,8,0.5606469002695418,371,9,
stage2=min_leaf50@h,2,run,26.052787630892947,24.8116395984496,-4.763974013174761,0.8274932614555256,0.8517520215633423,True,True,6,8,0.5633423180592992,371,9,
stage2=no_clip@h,2,run,26.052787630892947,24.472978513271688,-6.0638774629550545,0.8274932614555256,0.8517520215633423,True,True,6,8,0.5283018867924528,371,9,
stage2=warmup12@h,2,run,26.052787630892947,24.493288092198448,-5.98592197038167,0.8274932614555256,0.8463611859838275,True,True,6,8,0.555256064690027,371,11,
stage2=warmup36@h,2,run,26.052787630892947,24.480193541279398,-6.036183581939592,0.8274932614555256,0.8517520215633423,True,True,6,8,0.5660377358490566,371,11,
stage2=min_train_rows1000@h,2,run,26.052787630892947,24.350777879905046,-6.532927589559312,0.8274932614555256,0.8517520215633423,True,True,6,8,0.555256064690027,371,13,
modelable=36_months@h,2,run,26.052787630892947,24.350777879905046,-6.532927589559312,0.8274932614555256,0.8517520215633423,True,True,6,8,0.555256064690027,371,14,
stage1=log1p_transform,3,not_run,,,,,,,,,,,,-,"stage 1 is not repaired (human-set, 2026-09-21); would also need a verified CRPS on the transformed scale"
stage1=negative_binomial_family,3,not_run,,,,,,,,,,,,-,"stage 1 is not repaired (human-set, 2026-09-21); the most consequential fork not run"
stage2=multiplicative,3,not_run,,,,,,,,,,,,-,undefined where stage 1's mean is near or below zero; needs a design decision
stage2=enso_covariate,3,not_run,,,,,,,,,,,,-,a new data acquisition and a governance decision; human call
evaluation=chap_native,3,not_run,,,,,,,,,,,,-,decided against in plan §4
