combination,status,wall_seconds,two_stage_mean_crps
main,run,20.5,25.16411721353624
stage1=airline_011x011,run,25.7,26.045994848163073
stage2=g_bounded_correction,run,20.4,24.529753688147764
stage2=g_scale_by_residual_rms,run,20.7,25.31280987831579
window=rolling_72m,run,10.5,23.50165766036341
stage1=nodiff_101x100,run,17.8,24.09182899996404
stage2=g_level_month_horizon_only,run,17.3,24.350777879905046
stage2=g_rolling_refit_oos,run,990.1,25.871202910185502
scheme=chap_default_7x1,run,67.9,32.495818816111644
stage2=g_per_horizon,run,74.4,25.187759168511235
stage2=g_alt_seed,run,35.3,25.13266523462798
stage2=g_zclip2,run,33.7,25.284055990881594
stage2=g_with_climate_anomalies,run,46.3,24.54656603354263
window=start_2002,run,19.5,27.119061595140582
stage2=g_depth2,run,31.3,24.96178612834107
stage2=g_depth4_300trees,run,48.1,25.424554715841484
stage2=g_zclip5,run,33.6,25.374682501920034
stage2=g_no_incidence_terms,run,32.1,25.18727585022415
stage2=g_no_winsorisation,run,33.5,25.631774279175513
stage2=g_lr0.1,run,33.4,25.555590947925307
stage2=g_min_leaf50,run,33.5,25.40667017721603
stage2=g_no_clip,run,33.5,25.302465551777082
stage2=f_alpha1,run,24.4,25.628826202650757
stage2=f_alpha100,run,24.4,25.593740070814686
stage2=g_no_cross_province,run,34.9,24.532123245543765
stage2=g_warmup12,run,36.4,25.08272331831992
stage2=g_warmup36,run,31.0,25.24330876131306
stage1=enforce_stationarity,run,39.2,24.55347304451071
stage2=g_min_train_rows1000,run,34.0,25.16411721353624
modelable=36_months,run,33.6,25.16411721353624
