model,weighting,location,n_cells,mean_crps,mae,coverage_10_90,coverage_25_75,observed_total
reference,unweighted,LA-XI,24,3.4753630312499997,3.53125,0.875,0.84375,84.0
reference_r1,unweighted,LA-AT,24,18.926959958333335,24.979166666666668,0.5833333333333334,0.2916666666666667,566.0
reference_r1,unweighted,LA-BK,24,29.023338958333337,34.875,0.625,0.5,927.0
reference_r1,unweighted,LA-BL,24,6.416224958333333,8.770833333333334,0.9583333333333334,0.625,228.0
reference_r1,unweighted,LA-CH,24,52.81560050000001,65.20833333333333,0.875,0.4583333333333333,2431.0
reference_r1,unweighted,LA-HO,24,0.31042649999999977,0.25,0.9166666666666666,0.875,6.0
reference_r1,unweighted,LA-KH,24,31.602051916666667,37.958333333333336,0.75,0.625,1056.0
reference_r1,unweighted,LA-LM,24,0.8584230833333334,0.9166666666666666,0.8333333333333334,0.75,23.0
reference_r1,unweighted,LA-LP,24,45.579536625,57.458333333333336,0.5833333333333334,0.041666666666666664,1336.0
reference_r1,unweighted,LA-OU,24,1.9784682916666672,2.125,0.9166666666666666,0.875,53.0
reference_r1,unweighted,LA-PH,11,0.0719213636363636,0.0,1.0,1.0,0.0
reference_r1,unweighted,LA-SL,24,37.724889499999996,51.729166666666664,0.7916666666666666,0.4166666666666667,1455.0
reference_r1,unweighted,LA-SV,24,11.725898833333325,7.395833333333333,1.0,0.75,192.0
reference_r1,unweighted,LA-VT,24,93.90631841666665,135.95833333333334,0.75,0.375,3707.0
reference_r1,unweighted,LA-XA,24,3.3481302916666666,4.375,1.0,0.875,125.0
reference_r1,unweighted,LA-XE,24,3.321171000000001,3.9166666666666665,0.7083333333333334,0.625,102.0
reference_r1,unweighted,LA-XI,24,3.500755875,3.5416666666666665,0.875,0.8333333333333334,84.0
reference_r2,unweighted,LA-AT,24,19.30659770833333,25.375,0.6666666666666666,0.375,566.0
reference_r2,unweighted,LA-BK,24,28.996712791666667,34.875,0.5833333333333334,0.5,927.0
reference_r2,unweighted,LA-BL,24,6.903145625,9.354166666666666,0.9166666666666666,0.5,228.0
reference_r2,unweighted,LA-CH,24,55.71267041666667,85.52083333333333,0.875,0.2916666666666667,2431.0
reference_r2,unweighted,LA-HO,24,0.29834941666666676,0.25,0.9166666666666666,0.875,6.0
reference_r2,unweighted,LA-KH,24,31.61489120833333,37.645833333333336,0.75,0.625,1056.0
reference_r2,unweighted,LA-LM,24,0.9158951666666667,0.9166666666666666,0.8333333333333334,0.7916666666666666,23.0
reference_r2,unweighted,LA-LP,24,49.79589475,59.354166666666664,0.5416666666666666,0.041666666666666664,1336.0
reference_r2,unweighted,LA-OU,24,1.9427314583333333,2.0416666666666665,0.9166666666666666,0.875,53.0
reference_r2,unweighted,LA-PH,11,0.06940809090909089,0.0,1.0,1.0,0.0
reference_r2,unweighted,LA-SL,24,37.244760041666666,52.375,0.7083333333333334,0.4166666666666667,1455.0
reference_r2,unweighted,LA-SV,24,11.088411458333335,4.979166666666667,1.0,0.875,192.0
reference_r2,unweighted,LA-VT,24,91.10056641666665,133.10416666666666,0.7916666666666666,0.4166666666666667,3707.0
reference_r2,unweighted,LA-XA,24,3.4152896249999993,4.416666666666667,1.0,0.875,125.0
reference_r2,unweighted,LA-XE,24,3.420066333333333,3.9166666666666665,0.75,0.625,102.0
reference_r2,unweighted,LA-XI,24,3.4705866666666663,3.5416666666666665,0.875,0.875,84.0
reference_r3,unweighted,LA-AT,24,19.797783958333337,26.4375,0.5833333333333334,0.3333333333333333,566.0
reference_r3,unweighted,LA-BK,24,29.04938416666667,34.958333333333336,0.625,0.5,927.0
reference_r3,unweighted,LA-BL,24,6.4502043333333345,8.625,0.9583333333333334,0.5416666666666666,228.0
reference_r3,unweighted,LA-CH,24,57.28149762500001,72.20833333333333,0.875,0.5,2431.0
reference_r3,unweighted,LA-HO,24,0.2963765833333332,0.25,0.9166666666666666,0.875,6.0
reference_r3,unweighted,LA-KH,24,32.09100516666667,38.354166666666664,0.75,0.6666666666666666,1056.0
reference_r3,unweighted,LA-LM,24,0.9053986666666666,0.9583333333333334,0.7916666666666666,0.7916666666666666,23.0
reference_r3,unweighted,LA-LP,24,45.08586254166667,57.020833333333336,0.5833333333333334,0.041666666666666664,1336.0
reference_r3,unweighted,LA-OU,24,1.9270357499999997,2.0833333333333335,0.9166666666666666,0.875,53.0
reference_r3,unweighted,LA-PH,11,0.08127690909090902,0.0,1.0,1.0,0.0
reference_r3,unweighted,LA-SL,24,37.703555791666666,50.8125,0.75,0.4583333333333333,1455.0
reference_r3,unweighted,LA-SV,24,12.032801749999992,7.166666666666667,1.0,0.75,192.0
reference_r3,unweighted,LA-VT,24,94.53959341666666,137.1875,0.7916666666666666,0.375,3707.0
reference_r3,unweighted,LA-XA,24,3.3681255833333332,4.166666666666667,1.0,0.875,125.0
reference_r3,unweighted,LA-XE,24,3.2932237500000006,3.875,0.7083333333333334,0.625,102.0
reference_r3,unweighted,LA-XI,24,3.477973875,3.5416666666666665,0.875,0.8333333333333334,84.0
reference_r4,unweighted,LA-AT,24,18.060443375000002,24.270833333333332,0.5833333333333334,0.2916666666666667,566.0
reference_r4,unweighted,LA-BK,24,28.734348583333333,36.083333333333336,0.5833333333333334,0.4166666666666667,927.0
reference_r4,unweighted,LA-BL,24,6.404939250000001,8.0,0.9583333333333334,0.6666666666666666,228.0
reference_r4,unweighted,LA-CH,24,53.83222249999999,68.70833333333333,0.875,0.5,2431.0
reference_r4,unweighted,LA-HO,24,0.29288045833333326,0.25,0.9583333333333334,0.9583333333333334,6.0
reference_r4,unweighted,LA-KH,24,33.680192375,43.208333333333336,0.7083333333333334,0.5833333333333334,1056.0
reference_r4,unweighted,LA-LM,24,0.7981245833333336,0.9583333333333334,0.9166666666666666,0.7916666666666666,23.0
reference_r4,unweighted,LA-LP,24,49.20559854166667,59.333333333333336,0.4583333333333333,0.08333333333333333,1336.0
reference_r4,unweighted,LA-OU,24,1.7753208333333337,2.2083333333333335,0.9583333333333334,0.875,53.0
reference_r4,unweighted,LA-PH,11,0.10412336363636356,0.0,1.0,1.0,0.0
reference_r4,unweighted,LA-SL,24,39.03933016666667,53.8125,0.7916666666666666,0.375,1455.0
reference_r4,unweighted,LA-SV,24,12.88770183333333,6.895833333333333,1.0,0.8333333333333334,192.0
reference_r4,unweighted,LA-VT,24,99.79203129166667,144.27083333333334,0.7916666666666666,0.375,3707.0
reference_r4,unweighted,LA-XA,24,3.4534655416666666,4.145833333333333,1.0,0.875,125.0
reference_r4,unweighted,LA-XE,24,3.21731275,4.166666666666667,0.7083333333333334,0.5833333333333334,102.0
reference_r4,unweighted,LA-XI,24,3.4521357083333335,3.5,0.875,0.8333333333333334,84.0
