model,against,weighting,n_cells,mean_crps_model,mean_crps_against,mean_diff,skill_score,sd_diff_cell,se_cell_naive,se_cluster_location,se_cluster_split,mean_diff_by_split,se_split_level,cells_model_better,cells_model_worse,cells_tied,splits_model_better,n_splits,win_rate_cells
ensemble,reference,unweighted,371,18.816872064690028,22.098446493261452,-3.281574428571429,0.1484979692835912,18.26574355549247,0.9483101549385669,2.3252093136682936,1.725702872552236,-3.22741379057975,1.832549760935597,160,211,0,6,8,0.431266846361186
climatology,reference,unweighted,371,24.3369086361186,22.098446493261452,2.238462142857143,-0.1012950002408417,25.739915854197868,1.3363498462377232,2.683630189161409,1.9190299889005369,2.3253633878038205,2.05801756383212,165,206,0,2,8,0.444743935309973
persistence,reference,unweighted,371,24.879338288409706,22.098446493261452,2.7808917951482486,-0.1258410538494749,39.39684152167743,2.0453820986815443,3.92536046330976,2.9850022838177366,2.772783710554263,3.13865861654718,174,197,0,3,8,0.4690026954177897
