province,split,month,actual,stage1_mean,stage1_se,stage2_correction,stage2_se,stage2_abstained,final_mean,final_se,crps,fit_failed,error
LA-AT,0,2008-01,4.0,4.103908898730386,19.410750502675594,1.5259142534055055,19.17170982774877,False,5.6298231521358915,27.282442940406188,6.414600888764931,False,
LA-AT,0,2008-02,2.0,4.80212191253651,19.7734184426588,1.524016598283443,19.171709156143177,False,6.326138510819953,27.541650438494482,6.706884001561818,False,
LA-AT,0,2008-03,0.0,4.920911443366263,19.80435544110605,1.5229924041371825,19.17170895892528,False,6.443903847503446,27.563869808925645,7.039806642585412,False,
LA-AT,1,2008-04,0.0,3.669853073058782,19.13792957457747,1.4633484792263638,18.91316063948799,False,5.133201552285145,26.90665333661109,6.677454331220119,False,
LA-AT,1,2008-05,4.0,4.339198631912654,19.494041883477173,1.4650299721571614,18.9131769342805,False,5.804228604069816,27.16111063086637,6.395210521697943,False,
LA-AT,1,2008-06,10.0,4.448858213599773,19.522349784421518,1.4676691023437096,18.913182169266616,False,5.916527315943482,27.181438535757586,6.596441890395445,False,
LA-AT,2,2008-07,6.0,5.459756750625248,18.89178816023257,1.4541970923704,18.673107359335162,False,6.913953842995648,26.56284243721595,6.220147008197482,False,
LA-AT,2,2008-08,11.0,4.6622703190376455,19.245011557062316,1.457388736135454,18.673113936976023,False,6.119659055173099,26.81521310627142,6.619953051205897,False,
LA-AT,2,2008-09,24.0,4.362871799395936,19.273087013699882,1.45886333917513,18.673134601987165,False,5.821735138571066,26.835384083362353,11.004273154957765,False,
LA-AT,3,2008-10,47.0,8.877272286016431,18.741736923977555,1.5818613203652023,18.519817196563576,False,10.459133606381634,26.348364881368173,23.66439242076628,False,
LA-AT,3,2008-11,43.0,6.234502839654927,19.106670415347576,1.5631212159731482,18.519909243775384,False,7.797624055628075,26.60924449807614,22.496856237756358,False,
LA-AT,3,2008-12,23.0,5.778333396601519,19.139585784418088,1.5335777018807222,18.519874761483763,False,7.311911098482241,26.63286513276674,9.807607471086689,False,
LA-AT,4,2009-01,18.0,12.648449129838081,19.026742868089503,1.4406896606412833,18.74067846103203,False,14.089138790479364,26.70636578323948,6.469211856733537,False,
LA-AT,4,2009-02,46.0,10.535457652145205,19.604445059779206,0.8821262214018636,18.741554198527364,False,11.417583873547068,27.121580335191382,21.884003372632613,False,
LA-AT,4,2009-03,77.0,10.13146299118978,19.677724429629947,0.5637303115759091,18.74228831429689,False,10.69519330276569,27.17510275941353,51.10391104333397,False,
LA-AT,5,2009-04,99.0,33.46614649163837,19.731924679249307,2.04367197543556,19.460238792742093,False,35.50981846707393,27.71371042314818,48.062803076006126,False,
LA-AT,5,2009-05,0.0,22.92997263777933,20.591060802903005,2.0442616656722117,19.460237113080286,False,24.974234303451542,28.33183039420778,14.876150802275935,False,
LA-AT,5,2009-06,24.0,20.222480696266313,20.75254876517731,2.045400324603805,19.460242811141384,False,22.267881020870117,28.449417050611814,6.6905447799750775,False,
LA-AT,6,2009-07,64.0,23.49055415798199,20.73171719463202,2.1338677932444847,20.451613314375333,False,25.624421951226473,29.12168582000251,24.49852487985215,False,
LA-AT,6,2009-08,21.0,23.107099508907414,21.676272161308784,2.134656497995066,20.45161822782876,False,25.24175600690248,29.801501018371336,7.204914527324465,False,
LA-AT,6,2009-09,17.0,22.496523438566996,21.868033730238306,2.135117592734087,20.451655714445664,False,24.631641031301083,29.94129457269773,7.768980312853652,False,
LA-AT,7,2009-10,4.0,22.53130089575577,20.850427389289425,2.1240655731287372,20.574920197243046,False,24.65536646888451,29.292792004842255,12.426802449500112,False,
LA-AT,7,2009-11,16.0,24.20081714562291,21.733798622154293,2.123715796762704,20.574827035188193,False,26.324532942385613,29.927938620564344,8.401017242996808,False,
LA-AT,7,2009-12,6.0,25.553085087465345,21.930409239224854,2.123118006042225,20.574752888490085,False,27.67620309350757,30.070971148639515,13.004382030626564,False,
LA-BK,0,2008-01,1.0,0.48063019598686724,1.8765424473141747,-0.3151584124384461,1.8301082706621563,False,0.16547178354842113,2.6212035096340576,0.7176722065194678,False,
LA-BK,0,2008-02,0.0,0.6566622021558151,2.0044092923989947,-0.36751247767463646,1.83006563217034,False,0.2891497244811786,2.7141843764760094,0.6465686394115064,False,
LA-BK,0,2008-03,0.0,0.7211343627786801,2.023108843930076,-0.2770022010206712,1.8301362990879453,False,0.44413216175800896,2.728070429374471,0.6663183722782728,False,
LA-BK,1,2008-04,0.0,0.473294023990439,1.8533074055003906,-0.0718512079205611,1.8071095208452097,False,0.4014428160698779,2.588511765399569,0.6297100025494249,False,
LA-BK,1,2008-05,12.0,0.6463410728300799,1.9790222486855704,0.2006601484083255,1.8080197793758863,False,0.8470012212384054,2.6805716896600473,9.640666723772133,False,
LA-BK,1,2008-06,53.0,0.7096110056714757,1.9972994809545028,0.4590834747462039,1.8086172891023815,False,1.1686944804176798,2.694494704960686,50.31109967411892,False,
LA-BK,2,2008-07,2.0,73.11411427880076,4.442028923635535,0.5658574313209419,4.377656600660214,False,73.67997171012169,6.236625551668034,68.1613325373828,False,
LA-BK,2,2008-08,9.0,83.71338982368334,7.951071300411221,0.47737631985711027,4.377910764252119,False,84.19076614354046,9.076653429760198,70.06981282499673,False,
LA-BK,2,2008-09,33.0,89.19752486576202,11.088468356834797,0.37113443361317555,4.378207139388645,False,89.5686592993752,11.921527932942166,49.84266226984801,False,
LA-BK,3,2008-10,48.0,17.18327853284533,5.6990445684545,0.5175477392299876,5.596452369139407,False,17.700826272075314,7.987451916179328,25.79301631399083,False,
LA-BK,3,2008-11,55.0,17.72378756108573,5.872435374404949,0.19031618699607888,5.596460193823597,False,17.914103748081807,8.112081356077159,32.50915236110826,False,
LA-BK,3,2008-12,5.0,17.705328093538963,6.076809908613871,-0.04189413554596766,5.5962275778075545,False,17.663433957992996,8.261076308087315,8.451652535726566,False,
LA-BK,4,2009-01,1.0,21.407852721242254,7.287070923363495,0.5044749502522529,7.188276419012875,False,21.912327671494506,10.235854654999075,15.292131176571527,False,
LA-BK,4,2009-02,0.0,23.77539216138364,7.82159324381208,0.5122503932946236,7.187541860933259,False,24.287642554678264,10.622526953334347,18.375462245822618,False,
LA-BK,4,2009-03,1.0,24.115146294336398,8.125718702803878,0.557882506759488,7.187406891377416,False,24.673028801095885,10.848323476893391,17.664047758540793,False,
LA-BK,5,2009-04,3.0,5.135309790582992,7.34850164761349,0.4695927198648067,7.250066084329956,False,5.604902510447799,10.322980901470741,2.6732794399793067,False,
LA-BK,5,2009-05,74.0,7.0546724872380135,8.303628213881032,0.21966791532290642,7.537973098901517,False,7.27434040256092,11.214779532122959,60.39839780843898,False,
LA-BK,5,2009-06,216.0,7.913690123583673,8.600343121495827,-0.9126829478757058,10.929092072409626,False,7.001007175707967,13.907226730540762,201.15268036688403,False,
LA-BK,6,2009-07,212.0,36.152326426665354,9.989152725784399,0.8105503730646757,9.878437024529422,False,36.96287679973003,14.048725573041834,167.11097856983878,False,
LA-BK,6,2009-08,110.0,52.220673864877426,11.30176044824396,0.8072002164872326,9.877960522707047,False,53.02787408136466,15.010126359150027,48.50408974194046,False,
LA-BK,6,2009-09,52.0,126.88264441445313,11.768123874214712,0.8052075790386058,9.878314723985396,False,127.68785199349173,15.364564468443906,67.01932719960915,False,
LA-BK,7,2009-10,31.0,59.06451016668727,16.16187566132933,0.18650262901216672,16.036324125593335,False,59.25101279569944,22.76773849887942,17.75362952273225,False,
LA-BK,7,2009-11,5.0,62.80986085324451,29.68937736374885,0.18803074347129106,16.035287013102952,False,62.997891596715796,33.74299272204039,40.13914676701216,False,
LA-BK,7,2009-12,4.0,37.31113096252758,36.9942762625542,0.1894079606251875,16.035930454355086,False,37.50053892315277,40.32031177616431,19.9296384061572,False,
LA-BL,0,2008-01,10.0,4.52523927927731,32.065831760355195,-7.095255690246331,31.55601336504156,False,-2.5700164109690213,44.98888247087369,11.905755459479751,False,
LA-BL,0,2008-02,7.0,10.184473297785225,38.4783743655274,-4.80088505400854,31.555378381006985,False,5.383588243776685,49.76270891523289,11.65023971840358,False,
LA-BL,0,2008-03,1.0,17.08526817597907,41.01550710425417,-1.013906957797596,31.55444969476284,False,16.071361218181476,51.748962487748905,13.83230907518768,False,
LA-BL,1,2008-04,3.0,10.296096808465538,31.656424755814268,3.891515887277147,31.16890999684579,False,14.187612695742686,44.42555771976311,11.50009027042215,False,
LA-BL,1,2008-05,15.0,13.528545564122764,37.996204476750165,8.543516202026279,31.199897813902936,False,22.07206176614904,49.164470690092806,11.894627734078336,False,
LA-BL,1,2008-06,19.0,20.25950459931389,40.50708719474455,10.410581714879996,31.18282389819898,False,30.670086314193885,51.11939572480026,13.004605201529294,False,
LA-BL,2,2008-07,31.0,28.923075892989942,31.2396617549828,9.260036201035366,30.810152192885155,False,38.183112094025304,43.876895340423545,10.721901835261272,False,
LA-BL,2,2008-08,32.0,25.031090212568824,37.49741045338484,9.131798619234836,30.908391859433138,False,34.162888831803656,48.59407863151525,11.394591410533316,False,
LA-BL,2,2008-09,30.0,43.370544165680926,39.97556569344811,1.9985088097810593,30.904203949578235,False,45.36905297546198,50.52836504645992,13.65893653466058,False,
LA-BL,3,2008-10,5.0,20.89846427492196,30.876141053305368,-0.8407709824107288,30.47262629772513,False,20.05769329251123,43.381067758002665,12.202351910491121,False,
LA-BL,3,2008-11,12.0,17.80157224459062,37.06706689583982,-4.459796776486665,30.4831938736367,False,13.341775468103954,47.99158839836817,11.23035814632081,False,
LA-BL,3,2008-12,1.0,16.78113402563925,39.52025087470302,-7.043543085238145,30.46764183386807,False,9.737590940401105,49.901176620560086,12.270454951053486,False,
LA-BL,4,2009-01,2.0,10.59105596541319,30.534727826883152,-8.022335301611841,30.130183483537593,False,2.568720663801349,42.89752394035667,10.027943823804456,False,
LA-BL,4,2009-02,3.0,13.961717439551695,36.665008773442636,-5.017159437500789,30.11894238626874,False,8.944558002050906,47.44969503404633,11.385476387035512,False,
LA-BL,4,2009-03,0.0,14.850701298079876,39.096371019187295,-0.6011759561504845,30.131273354951457,False,14.249525341929392,49.36010393891767,13.165004401689318,False,
LA-BL,5,2009-04,2.0,7.41016712838446,30.171905080990104,3.6387446420232363,29.7557950409826,False,11.048911770407695,42.37630463758303,10.671081098403171,False,
LA-BL,5,2009-05,0.0,15.807325360283087,36.260069603897826,6.974471386523052,29.752351729898514,False,22.78179674680614,46.90410516297172,15.290908452467356,False,
LA-BL,5,2009-06,7.0,20.051823867708222,38.68550817817715,9.676867269303292,29.7652855571233,False,29.728691137011516,48.81127705050242,15.554482714265541,False,
LA-BL,6,2009-07,35.0,17.134651823313227,29.826357424052958,8.56698078384037,29.49643359178672,False,25.7016326071536,41.948196526454424,10.621994430851714,False,
LA-BL,6,2009-08,9.0,21.54968687554024,35.875912881487594,6.265989781572314,29.498165333987213,False,27.815676657112554,46.445913524779904,13.854162272904313,False,
LA-BL,6,2009-09,0.0,23.590480709779726,38.29699056610634,3.615864931378318,29.52839107630049,False,27.206345641158045,48.35892229956516,17.251377259018568,False,
LA-BL,7,2009-10,1.0,1.3876487714117962,29.62232276247635,-1.5188201034153426,29.355901005798966,False,-0.13117133200354636,41.70432746977936,9.758331230490827,False,
LA-BL,7,2009-11,2.0,10.064230149241801,35.610458426221214,-6.001022282689267,29.354437627055106,False,4.063207866552534,46.149623592466035,10.821727417814767,False,
LA-BL,7,2009-12,1.0,10.625991284020099,37.99892153202815,-7.202464197458083,29.346132859330297,False,3.423527086562016,48.011598092489045,11.268863440562605,False,
LA-CH,0,2008-01,73.0,46.73807088172603,63.99224745934991,-7.089858085731135,62.30449884721814,False,39.648212795994894,89.31325943834813,25.783698625442163,False,
LA-CH,0,2008-02,90.0,63.30020081407488,78.41293171869822,-1.9796927900038996,61.72899433472443,False,61.320508024070975,99.79507303618587,26.587254052009666,False,
LA-CH,0,2008-03,92.0,72.93081324990386,84.96319096100622,6.336390922606074,61.75495051735311,False,79.26720417250993,105.03531659245446,25.161248251974204,False,
LA-CH,1,2008-04,69.0,97.98646907627938,63.17242882385317,15.057597788660326,60.93064657165396,False,113.04406686493971,87.7684422508717,29.148083072263333,False,
LA-CH,1,2008-05,113.0,97.9433190208146,77.31302752312375,21.750769371091295,61.00297591766886,False,119.6940883919059,98.4818120040598,23.196160155315166,False,
LA-CH,1,2008-06,295.0,108.29910248010837,83.71027054794273,24.26491929499133,60.94896892541934,False,132.56402177509972,103.54798988044867,109.19522663409398,False,
LA-CH,2,2008-07,162.0,258.5326244744787,64.67673603395158,25.08966666101351,62.020778754837806,False,283.6222911354922,89.60835441721933,78.2812297299564,False,
LA-CH,2,2008-08,143.0,247.86130040578115,79.1598042128248,17.26341497917562,62.69473439283287,False,265.12471538495674,100.97972233869835,76.26673981544104,False,
LA-CH,2,2008-09,185.0,203.64402882953058,85.74533454921553,10.303916292673389,62.01430387524708,False,213.94794512220398,105.8207743408088,27.86941071074993,False,
LA-CH,3,2008-10,140.0,147.43051349364714,64.72660119487331,1.5351514403380033,62.577279199857344,False,148.96566493398515,90.03026587929791,21.39552081136667,False,
LA-CH,3,2008-11,102.0,135.50247986093444,78.41303807901858,-6.879996221410867,62.2736371272263,False,128.62248363952358,100.13296371243126,26.207828990239346,False,
LA-CH,3,2008-12,73.0,126.51634066289479,84.34605923646077,-9.788183298838542,62.30641475532092,False,116.72815736405624,104.86346851207347,31.67704088359708,False,
LA-CH,4,2009-01,31.0,86.87179376516272,63.99477195572338,-10.039451339717925,61.492239076672774,False,76.83234242544479,88.75035946027329,29.97856629424587,False,
LA-CH,4,2009-02,48.0,97.9698328732368,77.50512035136803,-3.243463568311906,61.45829551426863,False,94.72636930492489,98.9149420876301,31.76162339560377,False,
LA-CH,4,2009-03,60.0,103.42632885564089,83.33596061668176,6.3197969881381795,61.457756740794906,False,109.74612584377907,103.5467922995003,33.55349920486557,False,
LA-CH,5,2009-04,102.0,70.91043037851901,63.388616929819214,16.593030390567428,60.8756099367316,False,87.50346076908644,87.88604349636213,21.490305042203634,False,
LA-CH,5,2009-05,66.0,89.35834576878105,76.94402228784098,23.146662526223196,60.803498164873325,False,112.50500829500425,98.0685880132753,31.55481379244972,False,
LA-CH,5,2009-06,124.0,130.78275431348706,82.83652802525562,23.50062747347939,61.71380835179295,False,154.28338178696646,103.29803733160078,27.65690385122693,False,
LA-CH,6,2009-07,122.0,105.0735652603224,62.811348176764966,26.7638652528356,60.92653187029349,False,131.83743051315798,87.50604405139501,20.890458758929956,False,
LA-CH,6,2009-08,110.0,105.66370144519648,76.16736363492153,19.068376678637875,60.51934271294678,False,124.73207812383436,97.28339079977358,23.62296206729702,False,
LA-CH,6,2009-09,105.0,116.43379855786468,81.94452300538752,7.578678770713427,60.51438432818395,False,124.0124773285781,101.8670484563072,25.217365454656534,False,
LA-CH,7,2009-10,59.0,102.0717290270198,62.09841962541085,-1.4313896723263673,59.778241114642086,False,100.64033935469344,86.19542813127559,28.016103692677202,False,
LA-CH,7,2009-11,35.0,98.53534193890775,75.30311557485774,-8.359571835043408,59.79428366926643,False,90.17577010386434,96.15568404832386,34.76644021668366,False,
LA-CH,7,2009-12,32.0,95.43607198990658,81.01334525162424,-11.54858935317581,59.790388878747066,False,83.88748263673077,100.68789754052206,33.96769161840605,False,
LA-HO,0,2008-01,0.0,0.22977145642942476,0.9715574422454025,-0.029904472989013386,0.9658253462188829,False,0.19986698344041137,1.3699425035311714,0.3317610413737928,False,
LA-HO,0,2008-02,0.0,0.2819942462421852,0.9731845766686849,-0.02319390314326511,0.9658271198613076,False,0.2588003430989201,1.3710981896732983,0.33984928167832923,False,
LA-HO,0,2008-03,0.0,0.27845345331962607,0.9732329777448774,0.007570172778953298,0.9658608894838195,False,0.28602362609857934,1.3711563320076365,0.344149146661976,False,
LA-HO,1,2008-04,0.0,0.29014350504451,0.9590509815578375,0.045051393969835624,0.9528424329944953,False,0.3351948990143456,1.3519199263794883,0.3489234563887269,False,
LA-HO,1,2008-05,0.0,0.2703392103541706,0.9606989261079935,0.10532609014566259,0.953059545258099,False,0.37566530049983315,1.3532423742377513,0.3575849581181973,False,
LA-HO,1,2008-06,0.0,0.2716909900127283,0.9607464409443158,0.15378932332325407,0.9532277769047749,False,0.42548031333598235,1.353394590815993,0.3692098417562154,False,
LA-HO,2,2008-07,0.0,0.2819050976766924,0.9471802129977438,0.14769196720073588,0.9430645124787633,False,0.4295970648774283,1.3366080317696953,0.3669736354411527,False,
LA-HO,2,2008-08,0.0,0.2632929539066991,0.9486993541703217,0.1447902474836476,0.9431578332971587,False,0.4080832013903467,1.3377507851288954,0.3619069958590381,False,
LA-HO,2,2008-09,1.0,0.2645217784244884,0.9487418300524846,0.11607184168629163,0.9431611494222445,False,0.38059362011078,1.3377832462214598,0.4250453256966084,False,
LA-HO,3,2008-10,0.0,0.21694739972018973,0.9378018349525139,0.06574093997833318,0.9344963117165254,False,0.2826883396985229,1.323916779201809,0.333382107719669,False,
LA-HO,3,2008-11,0.0,0.26893040142895247,0.939339186054482,0.01978196615973344,0.9344867642890864,False,0.2887123675886859,1.3249994789014006,0.3346440860125381,False,
LA-HO,3,2008-12,1.0,0.2608322982849577,0.9393809369908932,-0.03853183285318711,0.9351776707444847,False,0.22230046543177057,1.3255164354473197,0.48675146956768517,False,
LA-HO,4,2009-01,0.0,0.21535734951224805,0.9286823359753524,-0.023430923148501544,0.9263901026046107,False,0.19192642636374652,1.3117353023214777,0.31772898437584834,False,
LA-HO,4,2009-02,0.0,0.27068940275482306,0.9304305316611896,-0.02148281039936796,0.9264382668742166,False,0.24920659235545511,1.3130075538915327,0.32565639362914944,False,
LA-HO,4,2009-03,0.0,0.2668046237184518,0.9304769111720581,-0.002592716118499226,0.926453408284155,False,0.2642119075999526,1.3130511033259982,0.32799180838073144,False,
LA-HO,5,2009-04,0.0,0.2794183221998053,0.9179373055755863,0.019645251170029167,0.9152584231331405,False,0.29906357336983447,1.29626651506684,0.33033550558689323,False,
LA-HO,5,2009-05,0.0,0.2597150706835069,0.9196956662816866,0.06495256286191947,0.9153851704164475,False,0.3246676335454264,1.2976016834127737,0.33548256482287686,False,
LA-HO,5,2009-06,0.0,0.2611044502963331,0.9197411478754594,0.10375268948066345,0.9154844121425749,False,0.3648571397769966,1.2977039292424537,0.34392361770668,False,
LA-HO,6,2009-07,0.0,0.2722296177863651,0.9077010948925665,0.10618523718617309,0.9062084902234051,False,0.37841485497253824,1.2826282023338436,0.3439630175363833,False,
LA-HO,6,2009-08,0.0,0.2535837186782708,0.9093391327029892,0.10791973451344464,0.9062708016446451,False,0.3615034531917154,1.2838319298797067,0.3403682861203451,False,
LA-HO,6,2009-09,1.0,0.251692982445689,0.9093802865257691,0.07531176060067132,0.9066799734592683,False,0.3270047430463603,1.2841499444355358,0.4376730291557205,False,
LA-HO,7,2009-10,1.0,0.20402025007137758,0.899850866911587,0.05157868411094925,0.8988981686522529,False,0.2555989341823268,1.2719078191000748,0.4662495653555857,False,
