model,against,weighting,split_first_period,n_cells,mean_diff,crps_model,crps_against
climatology,reference_r3,unweighted,200910,48,-1.7491612916666666,29.698516229166668,31.447677520833334
climatology,reference_r4,unweighted,200801,45,0.18528106666666658,5.359555555555555,5.174274488888888
climatology,reference_r4,unweighted,200804,45,7.560886977777778,26.23410315555556,18.67321617777778
climatology,reference_r4,unweighted,200807,45,4.219353422222221,33.693777777777775,29.474424355555552
climatology,reference_r4,unweighted,200810,45,6.727793355555556,21.7052214,14.977428044444446
climatology,reference_r4,unweighted,200901,48,0.2676509999999998,5.830577854166666,5.562926854166666
climatology,reference_r4,unweighted,200904,48,-5.470001895833334,20.965904208333335,26.435906104166666
climatology,reference_r4,unweighted,200907,47,-2.004874085106381,51.11837406382978,53.12324814893616
climatology,reference_r4,unweighted,200910,48,-1.2527733750000012,29.698516229166668,30.951289604166664
persistence,reference,unweighted,200801,45,1.2483259666666668,6.611819177777777,5.363493211111111
persistence,reference,unweighted,200804,45,0.9522617722222226,20.304079,19.351817227777776
persistence,reference,unweighted,200807,45,4.405727111111112,33.16028768888889,28.754560577777777
persistence,reference,unweighted,200810,45,0.5409480888888899,19.002294022222223,18.461345933333334
persistence,reference,unweighted,200901,48,11.245318239583334,16.822697104166668,5.577378864583333
persistence,reference,unweighted,200904,48,-7.7848930520833335,19.039242229166668,26.824135281249998
persistence,reference,unweighted,200907,47,-7.928571382978727,45.428911,53.35748238297872
persistence,reference,unweighted,200910,48,6.86426521875,37.81606260416667,30.95179738541667
persistence,reference_r1,unweighted,200801,45,0.5272337111111114,6.611819177777777,6.084585466666667
persistence,reference_r1,unweighted,200804,45,-1.8176161333333327,20.304079,22.121695133333336
persistence,reference_r1,unweighted,200807,45,4.508928044444445,33.16028768888889,28.651359644444444
persistence,reference_r1,unweighted,200810,45,-2.2260120444444427,19.002294022222223,21.22830606666667
persistence,reference_r1,unweighted,200901,48,11.327116604166667,16.822697104166668,5.4955805
persistence,reference_r1,unweighted,200904,48,-7.217109833333332,19.039242229166668,26.2563520625
persistence,reference_r1,unweighted,200907,47,-8.339864212765962,45.428911,53.76877521276596
persistence,reference_r1,unweighted,200910,48,7.107142229166667,37.81606260416667,30.708920375
persistence,reference_r2,unweighted,200801,45,1.594135333333333,6.611819177777777,5.017683844444444
persistence,reference_r2,unweighted,200804,45,2.0927886222222227,20.304079,18.21129037777778
persistence,reference_r2,unweighted,200807,45,5.032405955555557,33.16028768888889,28.127881733333332
persistence,reference_r2,unweighted,200810,45,3.1808374444444465,19.002294022222223,15.821456577777775
persistence,reference_r2,unweighted,200901,48,11.066607249999999,16.822697104166668,5.756089854166667
persistence,reference_r2,unweighted,200904,48,-7.907327479166667,19.039242229166668,26.94656970833333
persistence,reference_r2,unweighted,200907,47,-7.866549617021276,45.428911,53.29546061702128
