model,weighting,horizon_distance,n_cells,mean_crps
climatology,unweighted,1,124,22.307350129032258
climatology,unweighted,2,123,23.731123772357726
climatology,unweighted,3,124,26.96736664516129
ensemble,unweighted,1,124,14.28249354032258
ensemble,unweighted,2,123,18.072101349593495
ensemble,unweighted,3,124,23.296353088709676
persistence,unweighted,1,124,16.268865459677418
persistence,unweighted,2,123,24.390408357723576
persistence,unweighted,3,124,33.073953008064514
reference,unweighted,1,124,16.591681375
reference,unweighted,2,123,22.141510563008133
reference,unweighted,3,124,27.927652913306453
reference_r1,unweighted,1,124,16.65900228225806
reference_r1,unweighted,2,123,21.768208666666666
reference_r1,unweighted,3,124,27.606018919354835
reference_r2,unweighted,1,124,16.752969201612903
reference_r2,unweighted,2,123,22.38016304878049
reference_r2,unweighted,3,124,28.38874847580645
reference_r3,unweighted,1,124,16.56062160483871
reference_r3,unweighted,2,123,22.803516715447152
reference_r3,unweighted,3,124,28.130979733870966
reference_r4,unweighted,1,124,16.39413241129032
reference_r4,unweighted,2,123,21.61415382113821
reference_r4,unweighted,3,124,27.58486452419355
