weighting,location,time_period,weight
population,LA-LP,200807,231328.0
population,LA-LP,200808,231328.0
population,LA-LP,200809,231328.0
population,LA-LP,200810,231328.0
population,LA-LP,200811,231328.0
population,LA-LP,200812,231328.0
population,LA-LP,200901,231328.0
population,LA-LP,200902,231328.0
population,LA-LP,200903,231328.0
population,LA-LP,200904,231328.0
population,LA-LP,200905,231328.0
population,LA-LP,200906,231328.0
population,LA-LP,200907,231328.0
population,LA-LP,200908,231328.0
population,LA-LP,200909,231328.0
population,LA-LP,200910,231328.0
population,LA-LP,200911,231328.0
population,LA-LP,200912,231328.0
population,LA-OU,200801,195084.0
population,LA-OU,200802,195084.0
population,LA-OU,200803,195084.0
population,LA-OU,200804,195084.0
population,LA-OU,200805,195084.0
population,LA-OU,200806,195084.0
population,LA-OU,200807,195084.0
population,LA-OU,200808,195084.0
population,LA-OU,200809,195084.0
population,LA-OU,200810,195084.0
population,LA-OU,200811,195084.0
population,LA-OU,200812,195084.0
population,LA-OU,200901,195084.0
population,LA-OU,200902,195084.0
population,LA-OU,200903,195084.0
population,LA-OU,200904,195084.0
population,LA-OU,200905,195084.0
population,LA-OU,200906,195084.0
population,LA-OU,200907,195084.0
population,LA-OU,200908,195084.0
population,LA-OU,200909,195084.0
population,LA-OU,200910,195084.0
population,LA-OU,200911,195084.0
population,LA-OU,200912,195084.0
population,LA-PH,200901,40280.0
population,LA-PH,200902,40280.0
population,LA-PH,200903,40280.0
population,LA-PH,200904,40280.0
population,LA-PH,200905,40280.0
population,LA-PH,200906,40280.0
population,LA-PH,200907,40280.0
population,LA-PH,200909,40280.0
population,LA-PH,200910,40280.0
population,LA-PH,200911,40280.0
population,LA-PH,200912,40280.0
population,LA-SL,200801,289512.0
population,LA-SL,200802,289512.0
population,LA-SL,200803,289512.0
population,LA-SL,200804,289512.0
population,LA-SL,200805,289512.0
population,LA-SL,200806,289512.0
population,LA-SL,200807,289512.0
population,LA-SL,200808,289512.0
population,LA-SL,200809,289512.0
population,LA-SL,200810,289512.0
population,LA-SL,200811,289512.0
population,LA-SL,200812,289512.0
population,LA-SL,200901,289512.0
population,LA-SL,200902,289512.0
population,LA-SL,200903,289512.0
population,LA-SL,200904,289512.0
population,LA-SL,200905,289512.0
population,LA-SL,200906,289512.0
population,LA-SL,200907,289512.0
population,LA-SL,200908,289512.0
population,LA-SL,200909,289512.0
population,LA-SL,200910,289512.0
population,LA-SL,200911,289512.0
population,LA-SL,200912,289512.0
population,LA-SV,200801,719887.0
population,LA-SV,200802,719887.0
population,LA-SV,200803,719887.0
population,LA-SV,200804,719887.0
population,LA-SV,200805,719887.0
population,LA-SV,200806,719887.0
population,LA-SV,200807,719887.0
population,LA-SV,200808,719887.0
population,LA-SV,200809,719887.0
population,LA-SV,200810,719887.0
population,LA-SV,200811,719887.0
population,LA-SV,200812,719887.0
population,LA-SV,200901,719887.0
population,LA-SV,200902,719887.0
population,LA-SV,200903,719887.0
population,LA-SV,200904,719887.0
population,LA-SV,200905,719887.0
population,LA-SV,200906,719887.0
population,LA-SV,200907,719887.0
population,LA-SV,200908,719887.0
population,LA-SV,200909,719887.0
population,LA-SV,200910,719887.0
population,LA-SV,200911,719887.0
population,LA-SV,200912,719887.0
population,LA-VT,200801,960194.0
population,LA-VT,200802,960194.0
population,LA-VT,200803,960194.0
population,LA-VT,200804,960194.0
population,LA-VT,200805,960194.0
population,LA-VT,200806,960194.0
population,LA-VT,200807,960194.0
population,LA-VT,200808,960194.0
population,LA-VT,200809,960194.0
population,LA-VT,200810,960194.0
population,LA-VT,200811,960194.0
population,LA-VT,200812,960194.0
population,LA-VT,200901,960194.0
population,LA-VT,200902,960194.0
population,LA-VT,200903,960194.0
population,LA-VT,200904,960194.0
population,LA-VT,200905,960194.0
population,LA-VT,200906,960194.0
population,LA-VT,200907,960194.0
population,LA-VT,200908,960194.0
population,LA-VT,200909,960194.0
population,LA-VT,200910,960194.0
population,LA-VT,200911,960194.0
population,LA-VT,200912,960194.0
population,LA-XA,200801,265717.0
population,LA-XA,200802,265717.0
population,LA-XA,200803,265717.0
population,LA-XA,200804,265717.0
population,LA-XA,200805,265717.0
population,LA-XA,200806,265717.0
population,LA-XA,200807,265717.0
population,LA-XA,200808,265717.0
population,LA-XA,200809,265717.0
population,LA-XA,200810,265717.0
population,LA-XA,200811,265717.0
population,LA-XA,200812,265717.0
population,LA-XA,200901,265717.0
population,LA-XA,200902,265717.0
population,LA-XA,200903,265717.0
population,LA-XA,200904,265717.0
population,LA-XA,200905,265717.0
population,LA-XA,200906,265717.0
population,LA-XA,200907,265717.0
population,LA-XA,200908,265717.0
population,LA-XA,200909,265717.0
population,LA-XA,200910,265717.0
population,LA-XA,200911,265717.0
population,LA-XA,200912,265717.0
population,LA-XE,200801,86599.0
population,LA-XE,200802,86599.0
population,LA-XE,200803,86599.0
population,LA-XE,200804,86599.0
population,LA-XE,200805,86599.0
population,LA-XE,200806,86599.0
population,LA-XE,200807,86599.0
population,LA-XE,200808,86599.0
population,LA-XE,200809,86599.0
population,LA-XE,200810,86599.0
population,LA-XE,200811,86599.0
population,LA-XE,200812,86599.0
population,LA-XE,200901,86599.0
population,LA-XE,200902,86599.0
population,LA-XE,200903,86599.0
population,LA-XE,200904,86599.0
population,LA-XE,200905,86599.0
population,LA-XE,200906,86599.0
population,LA-XE,200907,86599.0
population,LA-XE,200908,86599.0
population,LA-XE,200909,86599.0
population,LA-XE,200910,86599.0
population,LA-XE,200911,86599.0
population,LA-XE,200912,86599.0
population,LA-XI,200801,148858.0
population,LA-XI,200802,148858.0
population,LA-XI,200803,148858.0
population,LA-XI,200804,148858.0
population,LA-XI,200805,148858.0
population,LA-XI,200806,148858.0
population,LA-XI,200807,148858.0
population,LA-XI,200808,148858.0
population,LA-XI,200809,148858.0
population,LA-XI,200810,148858.0
population,LA-XI,200811,148858.0
population,LA-XI,200812,148858.0
population,LA-XI,200901,148858.0
population,LA-XI,200902,148858.0
population,LA-XI,200903,148858.0
population,LA-XI,200904,148858.0
population,LA-XI,200905,148858.0
population,LA-XI,200906,148858.0
population,LA-XI,200907,148858.0
population,LA-XI,200908,148858.0
population,LA-XI,200909,148858.0
population,LA-XI,200910,148858.0
population,LA-XI,200911,148858.0
population,LA-XI,200912,148858.0
