model,weighting,horizon_distance,n_cells,mean_crps
climatology,population,1,124,37.26404776308971
climatology,population,2,123,39.59570230888976
climatology,population,3,124,41.075194857421856
ensemble,population,1,124,23.473902698400778
ensemble,population,2,123,28.27489519348525
ensemble,population,3,124,33.98086248662478
persistence,population,1,124,24.169017713052845
persistence,population,2,123,32.7402030118637
persistence,population,3,124,44.322065028254755
reference,population,1,124,27.595051626783018
reference,population,2,123,37.38589278285422
reference,population,3,124,46.184454400128196
reference_r1,population,1,124,27.45725331402073
reference_r1,population,2,123,37.800033271012474
reference_r1,population,3,124,45.40792456122129
reference_r2,population,1,124,27.56771675735908
reference_r2,population,2,123,37.13257233318829
reference_r2,population,3,124,45.946073968374876
reference_r3,population,1,124,27.737870846797538
reference_r3,population,2,123,37.628553649024425
reference_r3,population,3,124,47.560728454400426
reference_r4,population,1,124,27.617365588954726
reference_r4,population,2,123,36.9824118781917
reference_r4,population,3,124,45.8230906165162
