model,against,weighting,n_cells,mean_crps_model,mean_crps_against,mean_diff,skill_score,sd_diff_cell,se_cell_naive,se_cluster_location,se_cluster_split,mean_diff_by_split,se_split_level,cells_model_better,cells_model_worse,cells_tied,splits_model_better,n_splits,win_rate_cells
reference_r1,reference_r2,unweighted,1824,13.712073897478069,13.679676162280701,0.032397735197368424,-0.0023683115603787552,1.0697331082892334,0.025047421285071994,0.022238744175132885,0.03204318001755333,0.032397735197368424,0.03425560034525873,897,927,0,3,8,0.4917763157894737
reference_r1,reference_r3,unweighted,1824,13.712073897478069,13.697216504385967,0.014857393092105224,-0.0010847016317034885,1.096601540655555,0.025676536098415473,0.022931006610551464,0.016434615406261226,0.014857393092105221,0.01756934289532175,894,930,0,4,8,0.4901315789473684
reference_r1,reference_r4,unweighted,1824,13.712073897478069,13.684557189144737,0.027516708333333417,-0.002010785438871121,0.971896601074073,0.022756614172261266,0.02521367801863628,0.04170844463121563,0.027516708333333417,0.04458820284149711,905,919,0,3,8,0.4961622807017544
reference_r2,reference_r3,unweighted,1824,13.679676162280701,13.697216504385967,-0.017540342105263198,0.0012805771230708363,1.1613465095324067,0.027192516578949416,0.024571182732813984,0.02639559456716601,-0.017540342105263194,0.028218077540150516,920,904,0,4,8,0.5043859649122807
reference_r2,reference_r4,unweighted,1824,13.679676162280701,13.684557189144737,-0.004881026864035005,0.0003566813888510323,0.9673175787588646,0.02264939798897776,0.021399620693201723,0.02809652404822193,-0.004881026864035008,0.030036447642200363,912,912,0,3,8,0.5
reference_r3,reference_r4,unweighted,1824,13.697216504385967,13.684557189144737,0.012659315241228195,-0.000925080370979936,1.1277460744434051,0.02640577430976615,0.025480011622438677,0.03508220679723598,0.012659315241228195,0.03750445663063114,899,925,0,3,8,0.4928728070175439
