model,weighting,n_cells,mean_crps,mae,coverage_10_90,coverage_25_75,n_locations,n_splits,observed_total
reference_r2,unweighted,756,76.9775135462963,102.03968253968254,0.8108465608465608,0.6283068783068783,63,4,128710.0
reference_r1,unweighted,756,77.2020755026455,102.6739417989418,0.8227513227513228,0.6283068783068783,63,4,128710.0
reference,unweighted,756,77.25207690674603,102.71891534391534,0.8138227513227513,0.625,63,4,128710.0
reference_r4,unweighted,756,77.33793351455027,103.03968253968254,0.8095238095238095,0.6137566137566137,63,4,128710.0
reference_r3,unweighted,756,77.49078506349207,103.1223544973545,0.8121693121693122,0.6296296296296297,63,4,128710.0
ensemble,unweighted,756,83.91264516666666,115.2202380952381,0.8928571428571429,0.7156084656084656,63,4,128710.0
climatology,unweighted,756,99.34053637169312,125.30753968253968,0.6838624338624338,0.5132275132275133,63,4,128710.0
persistence,unweighted,756,104.54288872619047,125.94973544973546,0.6534391534391535,0.4669312169312169,63,4,128710.0
