model,against,split_first_period,n_cells,mean_diff,crps_model,crps_against
ensemble,reference,200801,45,-1.2889865833333338,4.093814266666666,5.382800850000001
ensemble,reference,200804,45,-0.1816030055555561,20.501025066666667,20.682628072222222
ensemble,reference,200807,45,-2.8285887888888874,17.342496044444445,20.17108483333333
ensemble,reference,200810,45,-0.48916675555555555,16.14744273333333,16.63660948888889
ensemble,reference,200901,48,0.42537100520833365,5.6779360625,5.252565057291666
ensemble,reference,200904,48,-5.979641109375,18.52823641666667,24.507877526041668
ensemble,reference,200907,47,-10.409773686170215,43.113198276595746,53.52297196276596
ensemble,reference,200910,48,-0.7753705104166664,24.051331395833333,24.826701906249998
ensemble,reference_r1,200801,45,-1.2453493555555561,4.093814266666666,5.339163622222222
ensemble,reference_r1,200804,45,-0.28916768888888983,20.501025066666667,20.790192755555555
ensemble,reference_r1,200807,45,-3.0533394222222228,17.342496044444445,20.395835466666668
ensemble,reference_r1,200810,45,-0.38600268888888845,16.14744273333333,16.533445422222222
ensemble,reference_r1,200901,48,0.4614121250000005,5.6779360625,5.2165239375
ensemble,reference_r1,200904,48,-5.591690291666666,18.52823641666667,24.119926708333335
ensemble,reference_r1,200907,47,-10.426642617021281,43.113198276595746,53.539840893617026
ensemble,reference_r1,200910,48,-1.0876578124999987,24.051331395833333,25.13898920833333
ensemble,reference_r2,200801,45,-1.2987519111111114,4.093814266666666,5.392566177777778
ensemble,reference_r2,200804,45,-0.2669259333333324,20.501025066666667,20.767951
ensemble,reference_r2,200807,45,-2.7885412444444424,17.342496044444445,20.131037288888887
ensemble,reference_r2,200810,45,-0.4516661111111111,16.14744273333333,16.599108844444444
ensemble,reference_r2,200901,48,0.38354587500000004,5.6779360625,5.2943901875
ensemble,reference_r2,200904,48,-6.023156541666666,18.52823641666667,24.551392958333334
ensemble,reference_r2,200907,47,-10.289372382978726,43.113198276595746,53.40257065957447
ensemble,reference_r2,200910,48,-1.0872824374999992,24.051331395833333,25.138613833333334
ensemble,reference_r3,200801,45,-1.3174457333333334,4.093814266666666,5.4112599999999995
ensemble,reference_r3,200804,45,-0.038882355555557434,20.501025066666667,20.53990742222222
ensemble,reference_r3,200807,45,-2.4415689555555553,17.342496044444445,19.784065
ensemble,reference_r3,200810,45,-0.5516354666666663,16.14744273333333,16.6990782
ensemble,reference_r3,200901,48,0.4189360416666668,5.6779360625,5.259000020833334
ensemble,reference_r3,200904,48,-6.155611333333334,18.52823641666667,24.68384775
ensemble,reference_r3,200907,47,-11.143855340425535,43.113198276595746,54.25705361702128
ensemble,reference_r3,200910,48,-0.36870833333333386,24.051331395833333,24.420039729166664
ensemble,reference_r4,200801,45,-1.2943993333333335,4.093814266666666,5.388213599999999
ensemble,reference_r4,200804,45,-0.13143604444444462,20.501025066666667,20.63246111111111
ensemble,reference_r4,200807,45,-3.0309055333333332,17.342496044444445,20.373401577777777
ensemble,reference_r4,200810,45,-0.5673627555555557,16.14744273333333,16.71480548888889
ensemble,reference_r4,200901,48,0.43758997916666725,5.6779360625,5.240346083333333
ensemble,reference_r4,200904,48,-6.148106270833335,18.52823641666667,24.6763426875
ensemble,reference_r4,200907,47,-9.779224404255316,43.113198276595746,52.892422680851055
ensemble,reference_r4,200910,48,-0.5578334583333334,24.051331395833333,24.609164854166668
climatology,reference,200801,45,-1.5105786277777777,3.8722222222222222,5.382800850000001
climatology,reference,200804,45,2.0736892166666667,22.75631728888889,20.682628072222222
climatology,reference,200807,45,12.806692944444446,32.977777777777774,20.17108483333333
climatology,reference,200810,45,3.592557177777778,20.229166666666668,16.63660948888889
climatology,reference,200901,48,0.2374349427083333,5.489999999999999,5.252565057291666
climatology,reference,200904,48,-4.244023359375,20.263854166666665,24.507877526041668
climatology,reference,200907,47,-1.1738230265957428,52.34914893617022,53.52297196276596
climatology,reference,200910,48,9.850850177083332,34.67755208333333,24.826701906249998
climatology,reference_r1,200801,45,-1.4669414,3.8722222222222222,5.339163622222222
climatology,reference_r1,200804,45,1.966124533333333,22.75631728888889,20.790192755555555
climatology,reference_r1,200807,45,12.581942311111112,32.977777777777774,20.395835466666668
climatology,reference_r1,200810,45,3.695721244444445,20.229166666666668,16.533445422222222
climatology,reference_r1,200901,48,0.27347606250000006,5.489999999999999,5.2165239375
climatology,reference_r1,200904,48,-3.856072541666666,20.263854166666665,24.119926708333335
climatology,reference_r1,200907,47,-1.1906919574468098,52.34914893617022,53.539840893617026
climatology,reference_r1,200910,48,9.538562875,34.67755208333333,25.13898920833333
climatology,reference_r2,200801,45,-1.5203439555555553,3.8722222222222222,5.392566177777778
climatology,reference_r2,200804,45,1.9883662888888904,22.75631728888889,20.767951
climatology,reference_r2,200807,45,12.84674048888889,32.977777777777774,20.131037288888887
climatology,reference_r2,200810,45,3.6300578222222226,20.229166666666668,16.599108844444444
climatology,reference_r2,200901,48,0.19560981249999973,5.489999999999999,5.2943901875
climatology,reference_r2,200904,48,-4.287538791666667,20.263854166666665,24.551392958333334
climatology,reference_r2,200907,47,-1.0534217234042536,52.34914893617022,53.40257065957447
climatology,reference_r2,200910,48,9.53893825,34.67755208333333,25.138613833333334
climatology,reference_r3,200801,45,-1.5390377777777777,3.8722222222222222,5.4112599999999995
climatology,reference_r3,200804,45,2.2164098666666656,22.75631728888889,20.53990742222222
climatology,reference_r3,200807,45,13.193712777777778,32.977777777777774,19.784065
climatology,reference_r3,200810,45,3.530088466666667,20.229166666666668,16.6990782
climatology,reference_r3,200901,48,0.23099997916666637,5.489999999999999,5.259000020833334
climatology,reference_r3,200904,48,-4.4199935833333335,20.263854166666665,24.68384775
climatology,reference_r3,200907,47,-1.907904680851062,52.34914893617022,54.25705361702128
climatology,reference_r3,200910,48,10.257512354166666,34.67755208333333,24.420039729166664
climatology,reference_r4,200801,45,-1.5159913777777778,3.8722222222222222,5.388213599999999
climatology,reference_r4,200804,45,2.1238561777777782,22.75631728888889,20.63246111111111
climatology,reference_r4,200807,45,12.6043762,32.977777777777774,20.373401577777777
climatology,reference_r4,200810,45,3.514361177777778,20.229166666666668,16.71480548888889
climatology,reference_r4,200901,48,0.2496539166666668,5.489999999999999,5.240346083333333
climatology,reference_r4,200904,48,-4.412488520833334,20.263854166666665,24.6763426875
climatology,reference_r4,200907,47,-0.543273744680844,52.34914893617022,52.892422680851055
climatology,reference_r4,200910,48,10.068387229166666,34.67755208333333,24.609164854166668
persistence,reference,200801,45,1.6420203055555556,7.024821155555556,5.382800850000001
persistence,reference,200804,45,-0.9911398944444438,19.691488177777778,20.682628072222222
persistence,reference,200807,45,12.163533344444447,32.33461817777778,20.17108483333333
persistence,reference,200810,45,1.6278566666666665,18.264466155555557,16.63660948888889
persistence,reference,200901,48,11.674582401041667,16.927147458333334,5.252565057291666
persistence,reference,200904,48,-5.8063744010416665,18.701503125,24.507877526041668
persistence,reference,200907,47,-7.067447771276594,46.45552419148937,53.52297196276596
persistence,reference,200910,48,11.835611989583336,36.662313895833336,24.826701906249998
persistence,reference_r1,200801,45,1.685657533333333,7.024821155555556,5.339163622222222
persistence,reference_r1,200804,45,-1.0987045777777775,19.691488177777778,20.790192755555555
persistence,reference_r1,200807,45,11.938782711111111,32.33461817777778,20.395835466666668
persistence,reference_r1,200810,45,1.7310207333333334,18.264466155555557,16.533445422222222
persistence,reference_r1,200901,48,11.710623520833332,16.927147458333334,5.2165239375
persistence,reference_r1,200904,48,-5.4184235833333325,18.701503125,24.119926708333335
persistence,reference_r1,200907,47,-7.084316702127661,46.45552419148937,53.539840893617026
persistence,reference_r1,200910,48,11.523324687500002,36.662313895833336,25.13898920833333
persistence,reference_r2,200801,45,1.632254977777778,7.024821155555556,5.392566177777778
persistence,reference_r2,200804,45,-1.0764628222222201,19.691488177777778,20.767951
persistence,reference_r2,200807,45,12.203580888888892,32.33461817777778,20.131037288888887
persistence,reference_r2,200810,45,1.6653573111111108,18.264466155555557,16.599108844444444
persistence,reference_r2,200901,48,11.632757270833332,16.927147458333334,5.2943901875
persistence,reference_r2,200904,48,-5.849889833333333,18.701503125,24.551392958333334
persistence,reference_r2,200907,47,-6.947046468085105,46.45552419148937,53.40257065957447
persistence,reference_r2,200910,48,11.523700062500003,36.662313895833336,25.138613833333334
persistence,reference_r3,200801,45,1.613561155555556,7.024821155555556,5.4112599999999995
persistence,reference_r3,200804,45,-0.848419244444445,19.691488177777778,20.53990742222222
persistence,reference_r3,200807,45,12.550553177777779,32.33461817777778,19.784065
persistence,reference_r3,200810,45,1.5653879555555552,18.264466155555557,16.6990782
persistence,reference_r3,200901,48,11.668147437499998,16.927147458333334,5.259000020833334
persistence,reference_r3,200904,48,-5.982344625,18.701503125,24.68384775
persistence,reference_r3,200907,47,-7.801529425531913,46.45552419148937,54.25705361702128
persistence,reference_r3,200910,48,12.242274166666666,36.662313895833336,24.420039729166664
persistence,reference_r4,200801,45,1.636607555555556,7.024821155555556,5.388213599999999
persistence,reference_r4,200804,45,-0.9409729333333322,19.691488177777778,20.63246111111111
persistence,reference_r4,200807,45,11.961216600000002,32.33461817777778,20.373401577777777
persistence,reference_r4,200810,45,1.549660666666666,18.264466155555557,16.71480548888889
persistence,reference_r4,200901,48,11.686801375,16.927147458333334,5.240346083333333
persistence,reference_r4,200904,48,-5.974839562500001,18.701503125,24.6763426875
persistence,reference_r4,200907,47,-6.436898489361695,46.45552419148937,52.892422680851055
persistence,reference_r4,200910,48,12.053149041666666,36.662313895833336,24.609164854166668
