model,against,weighting,n_cells,mean_crps_model,mean_crps_against,mean_diff,skill_score,sd_diff_cell,se_cell_naive,se_cluster_location,se_cluster_split,mean_diff_by_split,se_split_level,cells_model_better,cells_model_worse,cells_tied,splits_model_better,n_splits,win_rate_cells
ensemble,reference,unweighted,1512,52.665232497354495,57.57021843948414,-4.904985942129629,0.0852000578612637,34.87365554014516,0.8968536458780773,1.3052605899349972,1.354872277729379,-4.90498594212963,1.4484193903146758,696,816,0,7,8,0.4603174603174603
persistence,reference,unweighted,1512,60.67262832142856,57.57021843948414,3.102409881944445,-0.0538891455693462,132.4559727301518,3.4064000524583187,1.5714735295038715,7.120967925707386,3.1024098819444457,7.612634925772386,716,796,0,4,8,0.4735449735449735
climatology,reference,unweighted,1512,65.5617181164021,57.57021843948414,7.991499676917988,-0.13881308588951,89.23372061373499,2.294843670046781,5.145489999941476,2.3651663851804425,7.9914996769179885,2.528469221731378,783,729,0,1,8,0.5178571428571429
