country,combination,dataset,arrangement,description,our_model,skill_score,crps_ours,crps_reference,coverage_10_90_ours,coverage_10_90_reference,n_cells,n_locations,n_splits,beats_reference,beats_all_baselines,paired_mean_diff_vs_reference,paired_se_cluster_split,standard_errors_from_reference,reference_repeat_spread_crps,reference_repeat_spread_skill,crps_by_model,reference_unpaired_sd_across_splits
Laos,main,development,development,"development backtest, 3/8/3, evaluating 2008-01..2009-12",ensemble,0.14849796928359138,18.816872064690028,22.098446493261456,0.862533692722372,0.8039083557951483,371,16,8,True,True,-3.281574428571429,1.725702872552236,1.9015871624053853,0.565277280323451,0.025579955608907745,"{""climatology"": 24.336908636118597, ""ensemble"": 18.816872064690028, ""persistence"": 24.879338288409706, ""reference"": 22.098446493261456, ""reference_r1"": 21.917403964959565, ""reference_r2"": 22.27197036657682, ""reference_r3"": 22.38484446091644, ""reference_r4"": 21.81956718059299}",16.07885107809622
Laos,main__holdout,holdout,final,"final year, 3/4/3, evaluating 2010",ensemble,0.08681957547474661,76.73108261979166,84.02620178776041,0.7552083333333334,0.7630208333333334,192,16,4,True,True,-7.295119167968753,7.761588140391011,0.9399003188542341,1.2956994583333332,0.015420183594709024,"{""climatology"": 81.49848834375, ""ensemble"": 76.73108261979166, ""persistence"": 128.0523204375, ""reference"": 84.02620178776041, ""reference_r1"": 84.85216144270834, ""reference_r2"": 83.743102328125, ""reference_r3"": 83.95308139583334, ""reference_r4"": 83.556461984375}",100.0188012798201
Vietnam,main__vnm,vnm,development,"development backtest, 3/8/3, evaluating 2008-01..2009-12",ensemble,0.0852000578612635,52.665232497354495,57.57021843948412,0.9411375661375662,0.8695436507936508,1512,63,8,True,True,-4.904985942129629,1.354872277729379,3.620257069802817,7.082205159391536,0.12301855631894312,"{""climatology"": 65.56171811640212, ""ensemble"": 52.665232497354495, ""persistence"": 60.672628321428576, ""reference"": 57.57021843948412, ""reference_r1"": 56.044974420634915, ""reference_r2"": 55.78683519775132, ""reference_r3"": 55.68342949007936, ""reference_r4"": 62.765634649470904}",31.58770301051062
Vietnam,main__vnmFinal,vnmFinal,final,"final year, 3/4/3, evaluating 2010",ensemble,-0.08621863031541355,83.91264516666666,77.25207690674603,0.8928571428571429,0.8138227513227513,756,63,4,False,True,6.660568259920635,6.837251333278078,0.9741587569704369,0.5132715171957665,0.006644112854277774,"{""climatology"": 99.34053637169312, ""ensemble"": 83.91264516666666, ""persistence"": 104.54288872619048, ""reference"": 77.25207690674603, ""reference_r1"": 77.2020755026455, ""reference_r2"": 76.9775135462963, ""reference_r3"": 77.49078506349207, ""reference_r4"": 77.33793351455027}",55.561677921642236
Thailand,main__tha,tha,development,"development backtest, 3/8/3, evaluating 2008-01..2009-12",ensemble,0.08563434091782274,12.520757286732456,13.693380938322369,0.9665570175438596,0.805921052631579,1824,76,8,True,True,-1.1726236515899122,0.8081086083087995,1.4510718479338633,0.032397735197368424,0.002365941278000961,"{""climatology"": 16.351214800438594, ""ensemble"": 12.520757286732456, ""persistence"": 15.108275474232457, ""reference"": 13.693380938322369, ""reference_r1"": 13.71207389747807, ""reference_r2"": 13.6796761622807, ""reference_r3"": 13.697216504385963, ""reference_r4"": 13.684557189144735}",7.2127578968980375
Thailand,main__thaFinal,thaFinal,final,"final year, 3/4/3, evaluating 2010",ensemble,0.019748957859267002,25.604624298245614,26.120476487664476,0.875,0.7014802631578947,912,76,4,True,True,-0.5158521894188592,1.0540993342827407,0.4893772082399327,0.12454421491228058,0.004768068261354161,"{""climatology"": 29.387517301535087, ""ensemble"": 25.604624298245614, ""persistence"": 35.95913277960526, ""reference"": 26.120476487664476, ""reference_r1"": 26.17422777741228, ""reference_r2"": 26.1287722872807, ""reference_r3"": 26.129222323464912, ""reference_r4"": 26.0496835625}",23.66727593387642
