country,arrangement,combination,skill_score,reference_repeat_spread_skill,crps_ours,crps_reference,n_cells,n_locations
Laos,development,main,0.14849796928359138,0.025579955608907745,18.816872064690028,22.098446493261456,371,16
Laos,final,main__holdout,0.08681957547474661,0.015420183594709024,76.73108261979166,84.02620178776041,192,16
Thailand,development,main__tha,0.08563434091782274,0.002365941278000961,12.520757286732456,13.693380938322369,1824,76
Thailand,final,main__thaFinal,0.019748957859267002,0.004768068261354161,25.604624298245614,26.120476487664476,912,76
Vietnam,development,main__vnm,0.0852000578612635,0.12301855631894312,52.665232497354495,57.57021843948412,1512,63
Vietnam,final,main__vnmFinal,-0.08621863031541355,0.006644112854277774,83.91264516666666,77.25207690674603,756,63
