model,weighting,n_cells,mean_crps,mae,coverage_10_90,coverage_25_75,n_locations,n_splits,observed_total
reference,unweighted,756,77.25207690674603,102.71891534391534,0.8138227513227513,0.625,63,4,128710.0
ensemble,unweighted,756,83.91264516666666,115.2202380952381,0.8928571428571429,0.7156084656084656,63,4,128710.0
climatology,unweighted,756,99.34053637169312,125.30753968253968,0.6838624338624338,0.5132275132275133,63,4,128710.0
persistence,unweighted,756,104.54288872619048,125.94973544973546,0.6534391534391535,0.4669312169312169,63,4,128710.0
