model,against,weighting,split_first_period,n_cells,mean_diff,crps_model,crps_against
persistence,reference,cases,200801,45,-12.605342743654823,20.90649024619289,33.51183298984772
persistence,reference,cases,200804,45,16.64531331184799,103.37802414157973,86.73271082973174
persistence,reference,cases,200807,45,2.3424077496488773,76.87942870014045,74.53702095049158
persistence,reference,cases,200810,45,0.8070025770535065,49.94807038809345,49.141067811039946
persistence,reference,cases,200901,48,2.39599864445755,27.879811103773587,25.483812459316038
persistence,reference,cases,200904,48,-8.960336197245924,69.40400554072926,78.36434173797518
persistence,reference,cases,200907,47,2.0281445058373526,129.3176277651637,127.28948325932636
persistence,reference,cases,200910,48,-114.38205946247358,67.03269541141648,181.41475487389008
persistence,reference_r1,cases,200801,45,-15.894351845177667,20.90649024619289,36.80084209137056
persistence,reference_r1,cases,200804,45,18.835514511177358,103.37802414157973,84.54250963040238
persistence,reference_r1,cases,200807,45,3.9730740786516967,76.87942870014045,72.90635462148876
persistence,reference_r1,cases,200810,45,-0.09896200678221341,49.94807038809345,50.047032394875664
persistence,reference_r1,cases,200901,48,3.2490035023584958,27.879811103773587,24.630807601415093
persistence,reference_r1,cases,200904,48,-8.66105653685027,69.40400554072926,78.06506207757951
persistence,reference_r1,cases,200907,47,0.19741568813740398,129.3176277651637,129.1202120770263
persistence,reference_r1,cases,200910,48,-117.11038729429174,67.03269541141648,184.14308270570822
persistence,reference_r2,cases,200801,45,-11.318926431472082,20.90649024619289,32.225416677664974
persistence,reference_r2,cases,200804,45,18.2992379485842,103.37802414157973,85.07878619299554
persistence,reference_r2,cases,200807,45,2.8234310175561808,76.87942870014045,74.05599768258426
persistence,reference_r2,cases,200810,45,-0.29055397437829644,49.94807038809345,50.23862436247175
persistence,reference_r2,cases,200901,48,1.5501625589622663,27.879811103773587,26.32964854481132
persistence,reference_r2,cases,200904,48,-9.561722481768822,69.40400554072926,78.96572802249807
persistence,reference_r2,cases,200907,47,3.216216307568438,129.3176277651637,126.10141145759528
persistence,reference_r2,cases,200910,48,-111.13527650613105,67.03269541141648,178.16797191754753
persistence,reference_r3,cases,200801,45,-11.581947058375631,20.90649024619289,32.48843730456852
persistence,reference_r3,cases,200804,45,13.331741258569298,103.37802414157973,90.04628288301043
persistence,reference_r3,cases,200807,45,0.026003019662910756,76.87942870014045,76.85342568047754
persistence,reference_r3,cases,200810,45,3.9080533587038455,49.94807038809345,46.040017029389595
persistence,reference_r3,cases,200901,48,3.277124099056609,27.879811103773587,24.602687004716977
persistence,reference_r3,cases,200904,48,-9.122506876648552,69.40400554072926,78.5265124173778
persistence,reference_r3,cases,200907,47,2.8064468475577002,129.3176277651637,126.511180917606
persistence,reference_r3,cases,200910,48,-115.64807500591968,67.03269541141648,182.68077041733616
persistence,reference_r4,cases,200801,45,-11.626145639593911,20.90649024619289,32.5326358857868
persistence,reference_r4,cases,200804,45,16.114759529061107,103.37802414157973,87.26326461251863
persistence,reference_r4,cases,200807,45,2.547122882724719,76.87942870014045,74.33230581741573
persistence,reference_r4,cases,200810,45,-0.29052706932931227,49.94807038809345,50.23859745742276
persistence,reference_r4,cases,200901,48,1.5077044174528347,27.879811103773587,26.372106686320752
persistence,reference_r4,cases,200904,48,-8.496058893716054,69.40400554072926,77.9000644344453
persistence,reference_r4,cases,200907,47,1.8924991800858757,129.3176277651637,127.42512858507783
persistence,reference_r4,cases,200910,48,-113.63449904355178,67.03269541141648,180.66719445496827
ensemble,reference,cases,200801,45,-3.090119936548222,30.421713053299495,33.51183298984772
ensemble,reference,cases,200804,45,17.890760427347242,104.62347125707899,86.73271082973174
ensemble,reference,cases,200807,45,-25.01281474473315,49.524206205758425,74.53702095049158
ensemble,reference,cases,200810,45,2.9967924180482264,52.13786022908816,49.141067811039946
ensemble,reference,cases,200901,48,1.3244329251179257,26.808245384433963,25.483812459316038
ensemble,reference,cases,200904,48,-6.296672999418158,72.06766873855702,78.36434173797518
ensemble,reference,cases,200907,47,-9.976063631575421,117.31341962775093,127.28948325932636
ensemble,reference,cases,200910,48,-69.84560196395348,111.56915290993658,181.41475487389008
ensemble,reference_r1,cases,200801,45,-6.379129038071067,30.421713053299495,36.80084209137056
ensemble,reference_r1,cases,200804,45,20.080961626676608,104.62347125707899,84.54250963040238
ensemble,reference_r1,cases,200807,45,-23.38214841573033,49.524206205758425,72.90635462148876
ensemble,reference_r1,cases,200810,45,2.0908278342125053,52.13786022908816,50.047032394875664
ensemble,reference_r1,cases,200901,48,2.177437783018871,26.808245384433963,24.630807601415093
ensemble,reference_r1,cases,200904,48,-5.997393339022495,72.06766873855702,78.06506207757951
ensemble,reference_r1,cases,200907,47,-11.806792449275369,117.31341962775093,129.1202120770263
ensemble,reference_r1,cases,200910,48,-72.57392979577166,111.56915290993658,184.14308270570822
ensemble,reference_r2,cases,200801,45,-1.8037036243654825,30.421713053299495,32.225416677664974
ensemble,reference_r2,cases,200804,45,19.54468506408345,104.62347125707899,85.07878619299554
ensemble,reference_r2,cases,200807,45,-24.53179147682584,49.524206205758425,74.05599768258426
ensemble,reference_r2,cases,200810,45,1.899235866616423,52.13786022908816,50.23862436247175
ensemble,reference_r2,cases,200901,48,0.4785968396226418,26.808245384433963,26.32964854481132
ensemble,reference_r2,cases,200904,48,-6.89805928394105,72.06766873855702,78.96572802249807
ensemble,reference_r2,cases,200907,47,-8.787991829844335,117.31341962775093,126.10141145759528
ensemble,reference_r2,cases,200910,48,-66.59881900761098,111.56915290993658,178.16797191754753
ensemble,reference_r3,cases,200801,45,-2.0667242512690307,30.421713053299495,32.48843730456852
ensemble,reference_r3,cases,200804,45,14.57718837406855,104.62347125707899,90.04628288301043
ensemble,reference_r3,cases,200807,45,-27.329219474719117,49.524206205758425,76.85342568047754
ensemble,reference_r3,cases,200810,45,6.097843199698565,52.13786022908816,46.040017029389595
ensemble,reference_r3,cases,200901,48,2.2055583797169835,26.808245384433963,24.602687004716977
ensemble,reference_r3,cases,200904,48,-6.458843678820785,72.06766873855702,78.5265124173778
ensemble,reference_r3,cases,200907,47,-9.197761289855075,117.31341962775093,126.511180917606
ensemble,reference_r3,cases,200910,48,-71.11161750739959,111.56915290993658,182.68077041733616
ensemble,reference_r4,cases,200801,45,-2.11092283248731,30.421713053299495,32.5326358857868
ensemble,reference_r4,cases,200804,45,17.36020664456036,104.62347125707899,87.26326461251863
ensemble,reference_r4,cases,200807,45,-24.808099611657305,49.524206205758425,74.33230581741573
ensemble,reference_r4,cases,200810,45,1.899262771665406,52.13786022908816,50.23859745742276
ensemble,reference_r4,cases,200901,48,0.4361386981132099,26.808245384433963,26.372106686320752
ensemble,reference_r4,cases,200904,48,-5.832395695888284,72.06766873855702,77.9000644344453
ensemble,reference_r4,cases,200907,47,-10.111708957326899,117.31341962775093,127.42512858507783
ensemble,reference_r4,cases,200910,48,-69.0980415450317,111.56915290993658,180.66719445496827
climatology,reference,cases,200801,45,2.6497152335025356,36.16154822335025,33.51183298984772
climatology,reference,cases,200804,45,21.084815250745155,107.8175260804769,86.73271082973174
climatology,reference,cases,200807,45,4.1460478697331435,78.68306882022472,74.53702095049158
climatology,reference,cases,200810,45,12.665285106066314,61.80635291710625,49.141067811039946
climatology,reference,cases,200901,48,4.19531549115566,29.6791279504717,25.483812459316038
climatology,reference,cases,200904,48,-4.590268720131886,73.77407301784329,78.36434173797518
climatology,reference,cases,200907,47,-9.780669070920561,117.50881418840581,127.28948325932636
climatology,reference,cases,200910,48,-26.567903833298104,154.84685104059196,181.41475487389008
climatology,reference_r1,cases,200801,45,-0.6392938680203081,36.16154822335025,36.80084209137056
climatology,reference_r1,cases,200804,45,23.275016450074524,107.8175260804769,84.54250963040238
climatology,reference_r1,cases,200807,45,5.77671419873596,78.68306882022472,72.90635462148876
climatology,reference_r1,cases,200810,45,11.759320522230595,61.80635291710625,50.047032394875664
climatology,reference_r1,cases,200901,48,5.048320349056605,29.6791279504717,24.630807601415093
climatology,reference_r1,cases,200904,48,-4.290989059736224,73.77407301784329,78.06506207757951
climatology,reference_r1,cases,200907,47,-11.61139788862051,117.50881418840581,129.1202120770263
climatology,reference_r1,cases,200910,48,-29.296231665116288,154.84685104059196,184.14308270570822
climatology,reference_r2,cases,200801,45,3.936131545685276,36.16154822335025,32.225416677664974
climatology,reference_r2,cases,200804,45,22.738739887481366,107.8175260804769,85.07878619299554
climatology,reference_r2,cases,200807,45,4.6270711376404465,78.68306882022472,74.05599768258426
climatology,reference_r2,cases,200810,45,11.567728554634513,61.80635291710625,50.23862436247175
climatology,reference_r2,cases,200901,48,3.3494794056603765,29.6791279504717,26.32964854481132
climatology,reference_r2,cases,200904,48,-5.191655004654776,73.77407301784329,78.96572802249807
climatology,reference_r2,cases,200907,47,-8.592597269189474,117.50881418840581,126.10141145759528
climatology,reference_r2,cases,200910,48,-23.321120876955607,154.84685104059196,178.16797191754753
climatology,reference_r3,cases,200801,45,3.673110918781727,36.16154822335025,32.48843730456852
climatology,reference_r3,cases,200804,45,17.771243197466465,107.8175260804769,90.04628288301043
climatology,reference_r3,cases,200807,45,1.829643139747174,78.68306882022472,76.85342568047754
climatology,reference_r3,cases,200810,45,15.766335887716656,61.80635291710625,46.040017029389595
climatology,reference_r3,cases,200901,48,5.076440945754718,29.6791279504717,24.602687004716977
climatology,reference_r3,cases,200904,48,-4.752439399534511,73.77407301784329,78.5265124173778
climatology,reference_r3,cases,200907,47,-9.002366729200215,117.50881418840581,126.511180917606
climatology,reference_r3,cases,200910,48,-27.833919376744202,154.84685104059196,182.68077041733616
climatology,reference_r4,cases,200801,45,3.628912337563447,36.16154822335025,32.5326358857868
climatology,reference_r4,cases,200804,45,20.554261467958277,107.8175260804769,87.26326461251863
climatology,reference_r4,cases,200807,45,4.350763002808982,78.68306882022472,74.33230581741573
climatology,reference_r4,cases,200810,45,11.567755459683497,61.80635291710625,50.23859745742276
climatology,reference_r4,cases,200901,48,3.307021264150945,29.6791279504717,26.372106686320752
climatology,reference_r4,cases,200904,48,-4.12599141660201,73.77407301784329,77.9000644344453
climatology,reference_r4,cases,200907,47,-9.916314396672037,117.50881418840581,127.42512858507783
climatology,reference_r4,cases,200910,48,-25.820343414376318,154.84685104059196,180.66719445496827
