model,weighting,n_cells,mean_crps,mae,coverage_10_90,coverage_25_75,n_locations,n_splits,observed_total,origin,kind,node,seeded,wall_clock_seconds,seconds_per_split,skill_vs_reference
persistence,cases,371,86.59836223090065,108.46757790253032,0.4269790903913432,0.2351313969571231,16,8,12291.0,ours,local-mlproject,analysis/03_models/01_baselines/01_persistence/a_empiricalChange,False,16.9,2.1,0.25665223691530126
ensemble,cases,371,90.41046637564072,127.96220811976242,0.6932714994711577,0.4346269628183223,16,8,12291.0,ours,local-mlproject,analysis/03_models/03_candidate/c_ensemble,True,60.3,7.5,0.22392968864027973
climatology,cases,371,102.89885811317224,131.10975510536164,0.3659588316654462,0.279635505654544,16,8,12291.0,ours,local-mlproject,analysis/03_models/01_baselines/02_climatology/a_expandingWindow,False,16.6,2.1,0.11673114788881289
reference_r1,cases,371,114.44826061638597,158.90602880156212,0.6702465218452526,0.2304938572939549,16,8,12291.0,external,chapkit-service,analysis/03_models/02_reference,False,,,0.017592754337701355
reference_r4,cases,371,115.52048147978196,160.06386787079978,0.6556016597510373,0.1886746399804735,16,8,12291.0,external,chapkit-service,analysis/03_models/02_reference,False,,,0.00838896618506868
reference,cases,371,116.49777739498414,161.7622650720039,0.6419738019689204,0.1823285330729802,16,8,12291.0,external,repeat-mean,analysis/03_models/02_reference,False,645.1,20.2,0.0
reference_r3,cases,371,116.73681991278173,166.09246603205597,0.6609714425189163,0.1488080709462208,16,8,12291.0,external,chapkit-service,analysis/03_models/02_reference,False,,,-0.002051906252143576
reference_r2,cases,371,119.28554757098688,161.98669758359776,0.5810755837604752,0.1613375640712716,16,8,12291.0,external,chapkit-service,analysis/03_models/02_reference,False,,,-0.02392981427062635
