model,weighting,location,n_cells,mean_crps,mae,coverage_10_90,coverage_25_75,observed_total
climatology,cases,LA-AT,24,49.86212288869258,51.830388692579504,0.037102473498233215,0.0,566.0
climatology,cases,LA-BK,24,127.45375574002158,131.63754045307442,0.003236245954692557,0.002157497303128371,927.0
climatology,cases,LA-BL,24,17.582213486842107,31.24780701754386,0.8596491228070176,0.5526315789473685,228.0
climatology,cases,LA-CH,24,49.32193410448375,63.52221308103661,0.6898395721925134,0.5026737967914439,2431.0
climatology,cases,LA-HO,24,0.7135509999999999,1.0,0.6666666666666666,0.3333333333333333,6.0
climatology,cases,LA-KH,24,123.16693918560605,184.12073863636363,0.24337121212121213,0.1581439393939394,1056.0
climatology,cases,LA-LM,24,4.010508826086957,4.304347826086956,0.043478260869565216,0.0,23.0
climatology,cases,LA-LP,24,127.11326646856288,150.44835329341316,0.11002994011976049,0.07335329341317365,1336.0
climatology,cases,LA-OU,24,13.987912698113208,14.245283018867925,0.018867924528301886,0.0,53.0
climatology,cases,LA-PH,11,,,,,0.0
climatology,cases,LA-SL,24,100.42846483780068,115.61099656357388,0.029553264604810996,0.0006872852233676976,1455.0
climatology,cases,LA-SV,24,71.33025506770834,108.1875,0.9791666666666666,0.796875,192.0
climatology,cases,LA-VT,24,142.39452749231182,190.39411923388184,0.4933908821149177,0.41758834637172915,3707.0
climatology,cases,LA-XA,24,13.452908384,23.656,1.0,0.936,125.0
climatology,cases,LA-XE,24,16.300648323529412,17.86764705882353,0.058823529411764705,0.00980392156862745,102.0
climatology,cases,LA-XI,24,32.176105869047625,32.285714285714285,0.0,0.0,84.0
ensemble,cases,LA-AT,24,36.77935170494699,51.540636042402824,0.2420494699646643,0.1978798586572438,566.0
ensemble,cases,LA-BK,24,98.0861675943905,130.75188781014023,0.5026968716289104,0.27292340884573896,927.0
ensemble,cases,LA-BL,24,9.997226605263158,4.098684210526316,1.0,0.9342105263157895,228.0
ensemble,cases,LA-CH,24,51.73470032702591,63.44323323735088,0.958041958041958,0.6853146853146853,2431.0
ensemble,cases,LA-HO,24,0.4868223333333333,1.0,1.0,0.8333333333333334,6.0
ensemble,cases,LA-KH,24,132.2446416060606,183.51136363636363,0.45075757575757575,0.22253787878787878,1056.0
ensemble,cases,LA-LM,24,2.44106347826087,4.304347826086956,0.34782608695652173,0.21739130434782608,23.0
ensemble,cases,LA-LP,24,123.60162573278441,152.56736526946108,0.2986526946107784,0.27395209580838326,1336.0
ensemble,cases,LA-OU,24,9.358394339622642,14.245283018867925,0.37735849056603776,0.3584905660377358,53.0
ensemble,cases,LA-PH,11,,,,,0.0
ensemble,cases,LA-SL,24,84.261181419244,112.84329896907217,0.2652920962199313,0.23642611683848797,1455.0
ensemble,cases,LA-SV,24,26.095433744791666,19.8984375,1.0,1.0,192.0
ensemble,cases,LA-VT,24,116.89090976234152,187.45198273536553,1.0,0.49069328297814946,3707.0
ensemble,cases,LA-XA,24,10.062359200000001,11.22,1.0,0.704,125.0
ensemble,cases,LA-XE,24,13.25864243137255,17.205882352941178,0.29411764705882354,0.13725490196078433,102.0
ensemble,cases,LA-XI,24,30.634912702380955,32.285714285714285,0.14285714285714285,0.13095238095238096,84.0
persistence,cases,LA-AT,24,23.55418514664311,24.840989399293285,0.09187279151943463,0.0,566.0
persistence,cases,LA-BK,24,85.63045912081985,86.4638619201726,0.0010787486515641855,0.0,927.0
persistence,cases,LA-BL,24,9.68146921491228,14.223684210526315,1.0,0.631578947368421,228.0
persistence,cases,LA-CH,24,55.14146860839161,75.34718222953516,0.7531879884821061,0.3048128342245989,2431.0
persistence,cases,LA-HO,24,0.2866356666666667,0.3333333333333333,1.0,0.6666666666666666,6.0
persistence,cases,LA-KH,24,146.2530190407197,173.56628787878788,0.026515151515151516,0.022727272727272728,1056.0
persistence,cases,LA-LM,24,1.1991237826086956,1.3478260869565217,0.17391304347826086,0.17391304347826086,23.0
persistence,cases,LA-LP,24,143.7344351976048,162.39745508982037,0.1309880239520958,0.006736526946107785,1336.0
persistence,cases,LA-OU,24,6.560872660377358,6.7924528301886795,0.0,0.0,53.0
persistence,cases,LA-PH,11,,,,,0.0
persistence,cases,LA-SL,24,98.58613297938145,102.48797250859107,0.003436426116838488,0.0,1455.0
persistence,cases,LA-SV,24,19.665302494791668,25.739583333333332,1.0,0.9166666666666666,192.0
persistence,cases,LA-VT,24,90.69811667952521,132.7998381440518,0.6957108173725385,0.47423792824386296,3707.0
persistence,cases,LA-XA,24,9.089999344,11.848,1.0,0.216,125.0
persistence,cases,LA-XE,24,11.014954813725492,11.803921568627452,0.21568627450980393,0.029411764705882353,102.0
persistence,cases,LA-XI,24,34.13578294047619,34.20238095238095,0.0,0.0,84.0
reference,cases,LA-AT,24,35.912695459805654,47.34893992932862,0.3626325088339223,0.10247349823321555,566.0
reference,cases,LA-BK,24,103.21677518284788,124.57901833872708,0.15210355987055016,0.10652642934196332,927.0
reference,cases,LA-BL,24,13.41878855372807,20.289473684210527,0.9528508771929824,0.28618421052631576,228.0
reference,cases,LA-CH,24,69.29558626655698,88.44966063348416,0.9333607568901686,0.38543809132044426,2431.0
reference,cases,LA-HO,24,0.7440217916666666,1.0,0.6666666666666666,0.4583333333333333,6.0
reference,cases,LA-KH,24,153.19894552485798,191.20052083333334,0.22017045454545456,0.15104166666666666,1056.0
reference,cases,LA-LM,24,3.0306000434782607,4.141304347826087,0.41304347826086957,0.11956521739130435,23.0
reference,cases,LA-LP,24,128.47671498821109,152.22969685628743,0.30482784431137727,0.0,1336.0
reference,cases,LA-OU,24,10.434426962264151,13.471698113207546,0.41509433962264153,0.1320754716981132,53.0
reference,cases,LA-PH,11,,,,,0.0
reference,cases,LA-SL,24,77.08383653230241,103.83513745704467,0.65,0.16494845360824742,1455.0
reference,cases,LA-SV,24,25.281088589843762,18.699869791666668,1.0,0.7552083333333334,192.0
reference,cases,LA-VT,24,185.53573813015916,285.66529538710546,0.8332209333693014,0.11896412193148098,3707.0
reference,cases,LA-XA,24,10.947052298000001,16.44,1.0,0.506,125.0
reference,cases,LA-XE,24,14.727950230392157,17.529411764705884,0.2696078431372549,0.19117647058823528,102.0
reference,cases,LA-XI,24,31.379245244047617,32.285714285714285,0.044642857142857144,0.01488095238095238,84.0
reference_r1,cases,LA-AT,24,33.58281025971731,46.82155477031802,0.43286219081272087,0.10954063604240283,566.0
reference_r1,cases,LA-BK,24,99.72900488565264,123.0900755124056,0.15426105717367852,0.133764832793959,927.0
reference_r1,cases,LA-BL,24,12.58191298245614,20.05482456140351,0.9692982456140351,0.27631578947368424,228.0
reference_r1,cases,LA-CH,24,67.82677784615383,76.80748663101605,0.9432332373508844,0.5306458247634718,2431.0
reference_r1,cases,LA-HO,24,0.7085665000000002,1.0,0.6666666666666666,0.5,6.0
reference_r1,cases,LA-KH,24,152.2612770520833,191.10416666666666,0.21875,0.14962121212121213,1056.0
