weighting,location,time_period,weight
cases,LA-LP,200807,16.0
cases,LA-LP,200808,13.0
cases,LA-LP,200809,14.0
cases,LA-LP,200810,33.0
cases,LA-LP,200811,116.0
cases,LA-LP,200812,161.0
cases,LA-LP,200901,0.0
cases,LA-LP,200902,0.0
cases,LA-LP,200903,0.0
cases,LA-LP,200904,0.0
cases,LA-LP,200905,0.0
cases,LA-LP,200906,9.0
cases,LA-LP,200907,30.0
cases,LA-LP,200908,32.0
cases,LA-LP,200909,313.0
cases,LA-LP,200910,165.0
cases,LA-LP,200911,87.0
cases,LA-LP,200912,0.0
cases,LA-OU,200801,0.0
cases,LA-OU,200802,0.0
cases,LA-OU,200803,0.0
cases,LA-OU,200804,0.0
cases,LA-OU,200805,0.0
cases,LA-OU,200806,0.0
cases,LA-OU,200807,0.0
cases,LA-OU,200808,0.0
cases,LA-OU,200809,0.0
cases,LA-OU,200810,0.0
cases,LA-OU,200811,0.0
cases,LA-OU,200812,0.0
cases,LA-OU,200901,0.0
cases,LA-OU,200902,0.0
cases,LA-OU,200903,0.0
cases,LA-OU,200904,0.0
cases,LA-OU,200905,0.0
cases,LA-OU,200906,0.0
cases,LA-OU,200907,0.0
cases,LA-OU,200908,1.0
cases,LA-OU,200909,15.0
cases,LA-OU,200910,6.0
cases,LA-OU,200911,13.0
cases,LA-OU,200912,18.0
cases,LA-PH,200901,0.0
cases,LA-PH,200902,0.0
cases,LA-PH,200903,0.0
cases,LA-PH,200904,0.0
cases,LA-PH,200905,0.0
cases,LA-PH,200906,0.0
cases,LA-PH,200907,0.0
cases,LA-PH,200909,0.0
cases,LA-PH,200910,0.0
cases,LA-PH,200911,0.0
cases,LA-PH,200912,0.0
cases,LA-SL,200801,0.0
cases,LA-SL,200802,1.0
cases,LA-SL,200803,5.0
cases,LA-SL,200804,2.0
cases,LA-SL,200805,105.0
cases,LA-SL,200806,226.0
cases,LA-SL,200807,78.0
cases,LA-SL,200808,63.0
cases,LA-SL,200809,85.0
cases,LA-SL,200810,91.0
cases,LA-SL,200811,21.0
cases,LA-SL,200812,8.0
cases,LA-SL,200901,1.0
cases,LA-SL,200902,24.0
cases,LA-SL,200903,25.0
cases,LA-SL,200904,19.0
cases,LA-SL,200905,122.0
cases,LA-SL,200906,42.0
cases,LA-SL,200907,164.0
cases,LA-SL,200908,127.0
cases,LA-SL,200909,91.0
cases,LA-SL,200910,94.0
cases,LA-SL,200911,44.0
cases,LA-SL,200912,17.0
cases,LA-SV,200801,1.0
cases,LA-SV,200802,1.0
cases,LA-SV,200803,1.0
cases,LA-SV,200804,0.0
cases,LA-SV,200805,1.0
cases,LA-SV,200806,10.0
cases,LA-SV,200807,11.0
cases,LA-SV,200808,4.0
cases,LA-SV,200809,2.0
