dataset,location,location_name,evaluable_cells
vnm,VN-72,Đắk Nông,24
vnm,VN-73,Hậu Giang,24
vnm,VN-CT,Cần Thơ,24
vnm,VN-DN,Đà Nẵng,24
vnm,VN-HN,Hà Nội	,24
vnm,VN-HP,Hải Phòng,24
vnm,VN-SG,Ho Chi Minh,24
vnmFinal,VN-01,Lai Châu,12
vnmFinal,VN-02,Lào Cai,12
vnmFinal,VN-03,Hà Giang,12
vnmFinal,VN-04,Cao Bằng,12
vnmFinal,VN-05,Sơn La,12
vnmFinal,VN-06,Yên Bái,12
vnmFinal,VN-07,Tuyên Quang,12
vnmFinal,VN-09,Lạng Sơn,12
vnmFinal,VN-13,Quảng Ninh,12
vnmFinal,VN-14,Hòa Bình,12
vnmFinal,VN-18,Ninh Bình,12
vnmFinal,VN-20,Thái Bình,12
vnmFinal,VN-21,Thanh Hóa,12
vnmFinal,VN-22,Nghệ An,12
vnmFinal,VN-23,Hà Tĩnh,12
vnmFinal,VN-24,Quảng Bình,12
vnmFinal,VN-25,Quảng Trị,12
vnmFinal,VN-26,Thừa Thiên Huế,12
vnmFinal,VN-27,Quảng Nam,12
vnmFinal,VN-28,Kon Tum,12
vnmFinal,VN-29,Quảng Ngãi,12
vnmFinal,VN-30,Gia Lai,12
vnmFinal,VN-31,Bình Định,12
vnmFinal,VN-32,Phú Yên,12
vnmFinal,VN-33,Đắk Lắk,12
vnmFinal,VN-34,Khánh Hòa,12
vnmFinal,VN-35,Lâm Đồng,12
vnmFinal,VN-36,Ninh Thuận,12
vnmFinal,VN-37,Tây Ninh,12
vnmFinal,VN-39,Đồng Nai,12
vnmFinal,VN-40,Bình Thuận,12
vnmFinal,VN-41,Long An,12
vnmFinal,VN-43,Bà Rịa–Vũng Tàu,12
vnmFinal,VN-44,An Giang,12
vnmFinal,VN-45,Đồng Tháp,12
vnmFinal,VN-46,Tiền Giang,12
vnmFinal,VN-47,Kiên Giang,12
vnmFinal,VN-49,Vĩnh Long,12
vnmFinal,VN-50,Bến Tre,12
vnmFinal,VN-51,Trà Vinh,12
vnmFinal,VN-52,Sóc Trăng,12
vnmFinal,VN-53,Bắc Kạn,12
vnmFinal,VN-54,Bắc Giang,12
vnmFinal,VN-55,Bạc Liêu,12
vnmFinal,VN-56,Bắc Ninh,12
vnmFinal,VN-57,Bình Dương,12
vnmFinal,VN-58,Bình Phước,12
vnmFinal,VN-59,Cà Mau,12
vnmFinal,VN-61,Hải Dương,12
vnmFinal,VN-63,Hà Nam,12
vnmFinal,VN-66,Hưng Yên,12
vnmFinal,VN-67,Nam Định,12
vnmFinal,VN-68,Phú Thọ,12
vnmFinal,VN-69,Thái Nguyên,12
vnmFinal,VN-70,Vĩnh Phúc,12
vnmFinal,VN-71,Điện Biên,12
vnmFinal,VN-72,Đắk Nông,12
vnmFinal,VN-73,Hậu Giang,12
vnmFinal,VN-CT,Cần Thơ,12
vnmFinal,VN-DN,Đà Nẵng,12
vnmFinal,VN-HN,Hà Nội	,12
vnmFinal,VN-HP,Hải Phòng,12
vnmFinal,VN-SG,Ho Chi Minh,12
