model,weighting,n_cells,mean_crps,mae,coverage_10_90,coverage_25_75,n_locations,n_splits,observed_total,origin,kind,node,seeded,wall_clock_seconds,seconds_per_split,skill_vs_reference
ensemble,unweighted,371,18.843148671159028,23.483827493261455,0.862533692722372,0.77088948787062,16,8,12291.0,ours,local-mlproject,analysis/03_models/03_candidate/c_ensemble,True,75.3,9.4,0.1976577164391009
reference_r4,unweighted,371,23.25512818328841,27.576819407008085,0.7870619946091644,0.6253369272237197,16,8,12291.0,external,chapkit-service,analysis/03_models/02_reference,False,,,0.009795391592939628
reference_r3,unweighted,371,23.282516350404315,27.485175202156334,0.8005390835579514,0.633423180592992,16,8,12291.0,external,chapkit-service,analysis/03_models/02_reference,False,,,0.008629201964559963
reference_r2,unweighted,371,23.38250707816712,27.392183288409704,0.7870619946091644,0.6307277628032345,16,8,12291.0,external,chapkit-service,analysis/03_models/02_reference,False,,,0.004371591400200381
reference,unweighted,371,23.485174665768195,27.728099730458226,0.7816711590296496,0.6179245283018868,16,8,12291.0,external,repeat-mean,analysis/03_models/02_reference,False,796.8,24.9,0.0
reference_r1,unweighted,371,24.020547051212937,28.45822102425876,0.7520215633423181,0.5822102425876011,16,8,12291.0,external,chapkit-service,analysis/03_models/02_reference,False,,,-0.022796184957700083
climatology,unweighted,371,24.336908636118597,30.61994609164421,0.6495956873315364,0.5417789757412399,16,8,12291.0,ours,local-mlproject,analysis/03_models/01_baselines/02_climatology/a_expandingWindow,False,17.9,2.2,-0.03626687825285302
persistence,unweighted,371,24.879338288409706,29.07277628032345,0.6657681940700808,0.490566037735849,16,8,12291.0,ours,local-mlproject,analysis/03_models/01_baselines/01_persistence/a_empiricalChange,False,18.7,2.3,-0.059363562012320514
