split,h1,h2,h3,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,level_log,pred_negative,level_log_x_h,log_train_mean,r_last,r_last3,nat_last3,cum12_anom,zero_frac24
0,0.0,0.0,0.0,0.010057867905358954,0.002565792743702642,0.0006203612669728377,0.0009226077093883078,0.002379711904058389,0.016197393598512806,0.07229725426458529,0.0327777550918057,0.01167333185022057,0.01322469503313292,0.01094097689787446,0.0,0.289432050971984,0.0013993553204148966,0.08762241992573488,0.04043236544541964,0.1440464451254851,0.07382052070984287,0.06270098218408586,0.061214656554294165,0.06567345549712576
1,0.0,0.0,0.000426366396772247,0.009455950971204129,0.0021488085209343992,0.000581389191743632,0.0006840538165855364,0.0028188619378808634,0.016490231205313916,0.0787145512247229,0.030705500075809414,0.013293507921547489,0.014362129687191664,0.011995047407058618,0.0,0.3057909456831409,0.0016546731638506073,0.06780272037771055,0.04356165281716561,0.13566065487351556,0.08595580963895257,0.06083169987456448,0.05438410963589357,0.0626813355784415
2,0.0,0.0,0.0,0.00870174502292781,0.0023225415946746975,0.0007093227460900045,0.001175323528842936,0.006037456261719984,0.029937930557916926,0.06511713092265047,0.026860859282909443,0.009081240197309087,0.007571585533326257,0.010302442945023565,0.0016867698969964828,0.3184607605846897,0.0022976119663463157,0.08778272530144186,0.029790743981833716,0.10115193601405273,0.06666695289683847,0.08177870762986128,0.05794644175015033,0.0846197713843981
3,0.0,0.0,0.0,0.01192199891641107,0.002508015247990675,0.0004885058022878632,0.0010796771623734708,0.006543056664417068,0.03300981670876432,0.060027151450040284,0.019701007058949876,0.017909944391496048,0.006402613035335024,0.016515927509774965,0.0,0.3159579917642408,0.0008365035028641786,0.05770025103800357,0.03993296182936026,0.12555486364332055,0.06899291858615395,0.059920630705149754,0.07623216323954851,0.07876400174351782
4,0.0,0.0,0.0,0.013844099008754739,0.0043462321393256285,0.0016880847243606,0.0022647845794247145,0.004392541569037887,0.02888530005134789,0.0516652310311467,0.018001634222139948,0.01104235725433116,0.011238416140973847,0.006489525196879662,0.004135171554531195,0.31011926829234626,0.0,0.06165386401161358,0.03440287063036157,0.136143762792284,0.08948249718589883,0.04891759828587129,0.08296846265990311,0.07831829866946732
5,0.0005017051556918748,0.0,0.0001297896667060264,0.017876755517706063,0.003323168562670397,0.0005579595056748372,0.0018238231877725896,0.0048104354727609615,0.029135609619141238,0.05243129349953237,0.017093521266353204,0.012987410886255355,0.010741726271793496,0.006392871777703568,0.002668209796120747,0.31014410027672046,0.0026569186688334113,0.05863254133137654,0.03136658302965774,0.11304758599829522,0.09655758262875457,0.0486559918799425,0.09484451960411604,0.08361989639642088
6,0.0,0.0,0.0,0.017705495779479257,0.004101753093300653,0.0008008717903723228,0.0,0.006915966248061846,0.03296406602600196,0.04209217761387914,0.013602074889039336,0.006682999498651255,0.005242959000596224,0.005839014813892376,0.001986641692655957,0.29783008497628366,0.005016803188618179,0.05330597394307501,0.039230359014468454,0.11165454301394642,0.12568739075248678,0.05925774275163931,0.09062472458892527,0.07945835732462656
7,0.0,0.0,0.0004306954259622228,0.01566990578009576,0.0030179689861922284,0.00020088420079271158,0.000280159348212643,0.0056705046773750985,0.032841139661699555,0.060116104973895634,0.01919571867855869,0.007013596425242481,0.0004499910293718241,0.012669101112511317,0.0012891960710375745,0.31838265250791575,0.003214700908995542,0.06468824470698403,0.01451930526983537,0.07107873896151147,0.11253645872704696,0.048698403671203906,0.09385902618759072,0.1141775026879686
