model,weighting,horizon_distance,n_cells,mean_crps
climatology,unweighted,1,504,66.81849685515873
climatology,unweighted,2,504,64.1986109642857
climatology,unweighted,3,504,65.66804652976191
ensemble,unweighted,1,504,48.99212854365079
ensemble,unweighted,2,504,50.91667271428571
ensemble,unweighted,3,504,58.08689623412698
persistence,unweighted,1,504,39.76928032539682
persistence,unweighted,2,504,57.64808429166667
persistence,unweighted,3,504,84.60052034722223
reference,unweighted,1,504,53.74911206299603
reference,unweighted,2,504,55.53815269345238
reference,unweighted,3,504,63.423390562003966
reference_r1,unweighted,1,504,52.34827423412698
reference_r1,unweighted,2,504,54.00799175198413
reference_r1,unweighted,3,504,61.77865727579365
reference_r2,unweighted,1,504,51.91516534325397
reference_r2,unweighted,2,504,53.81508935119048
reference_r2,unweighted,3,504,61.63025089880953
reference_r3,unweighted,1,504,51.77997849404762
reference_r3,unweighted,2,504,53.56616020039683
reference_r3,unweighted,3,504,61.70414977579365
reference_r4,unweighted,1,504,58.95303018055556
reference_r4,unweighted,2,504,60.763369470238096
reference_r4,unweighted,3,504,68.58050429761904
