model,against,weighting,split_first_period,n_cells,mean_diff,crps_model,crps_against
hier_nb,reference,unweighted,200801,45,0.8610728999999998,6.066999977777778,5.205927077777778
hier_nb,reference,unweighted,200804,45,6.093929899999999,25.549118711111113,19.45518881111111
hier_nb,reference,unweighted,200807,45,-4.934434483333332,24.512958266666665,29.447392750000002
hier_nb,reference,unweighted,200810,45,5.026058177777778,20.77689271111111,15.750834533333334
hier_nb,reference,unweighted,200901,48,1.0917694270833336,6.765395958333333,5.67362653125
hier_nb,reference,unweighted,200904,48,-4.688933203124999,22.37206397916667,27.06099718229167
hier_nb,reference,unweighted,200907,47,-3.692102718085106,49.899235276595746,53.591337994680856
hier_nb,reference,unweighted,200910,48,1.501229359374998,32.330441020833334,30.829211661458334
hier_nb,reference_r1,unweighted,200801,45,0.8553834666666666,6.066999977777778,5.211616511111111
hier_nb,reference_r1,unweighted,200804,45,7.3479030666666665,25.549118711111113,18.201215644444446
hier_nb,reference_r1,unweighted,200807,45,-5.461031488888887,24.512958266666665,29.973989755555554
hier_nb,reference_r1,unweighted,200810,45,5.205587711111111,20.77689271111111,15.571304999999999
hier_nb,reference_r1,unweighted,200901,48,1.2011072708333341,6.765395958333333,5.5642886874999995
hier_nb,reference_r1,unweighted,200904,48,-4.7717371250000005,22.37206397916667,27.14380110416667
hier_nb,reference_r1,unweighted,200907,47,-4.18474019148936,49.899235276595746,54.08397546808511
hier_nb,reference_r1,unweighted,200910,48,1.7055851041666656,32.330441020833334,30.624855916666665
hier_nb,reference_r2,unweighted,200801,45,0.677913244444444,6.066999977777778,5.389086733333333
hier_nb,reference_r2,unweighted,200804,45,7.48203488888889,25.549118711111113,18.06708382222222
hier_nb,reference_r2,unweighted,200807,45,-4.82407331111111,24.512958266666665,29.337031577777775
hier_nb,reference_r2,unweighted,200810,45,5.012664111111111,20.77689271111111,15.7642286
hier_nb,reference_r2,unweighted,200901,48,0.6132921041666669,6.765395958333333,6.1521038541666675
hier_nb,reference_r2,unweighted,200904,48,-4.170395979166667,22.37206397916667,26.542459958333335
hier_nb,reference_r2,unweighted,200907,47,-3.6499090851063816,49.899235276595746,53.549144361702126
hier_nb,reference_r2,unweighted,200910,48,1.3150781249999992,32.330441020833334,31.015362895833334
hier_nb,reference_r3,unweighted,200801,45,0.9580466888888883,6.066999977777778,5.108953288888889
hier_nb,reference_r3,unweighted,200804,45,2.8972028222222215,25.549118711111113,22.65191588888889
hier_nb,reference_r3,unweighted,200807,45,-4.894049533333333,24.512958266666665,29.4070078
hier_nb,reference_r3,unweighted,200810,45,4.925804600000001,20.77689271111111,15.85108811111111
hier_nb,reference_r3,unweighted,200901,48,1.2902933541666668,6.765395958333333,5.4751026041666675
hier_nb,reference_r3,unweighted,200904,48,-4.679255208333335,22.37206397916667,27.051319187500003
hier_nb,reference_r3,unweighted,200907,47,-2.9704086170212722,49.899235276595746,52.86964389361702
hier_nb,reference_r3,unweighted,200910,48,1.5574408333333325,32.330441020833334,30.7730001875
hier_nb,reference_r4,unweighted,200801,45,0.9529481999999998,6.066999977777778,5.114051777777778
