model,against,weighting,n_cells,mean_crps_model,mean_crps_against,mean_diff,skill_score,sd_diff_cell,se_cell_naive,se_cluster_location,se_cluster_split,mean_diff_by_split,se_split_level,cells_model_better,cells_model_worse,cells_tied,splits_model_better,n_splits,win_rate_cells
hier_nb,reference,unweighted,371,23.602404148247977,23.48659683692722,0.11580731132075506,-0.0049307829535643055,24.69000396052378,1.2818411366668758,2.289509483686322,1.3896500379564956,0.15732366996158398,1.5020979012732119,162,209,0,3,8,0.4366576819407008
hier_nb,reference_r1,unweighted,371,23.602404148247977,23.409821973045823,0.19258217520215698,-0.008226554453250268,23.656961862496626,1.2282082632466413,2.0178504595293556,1.5411247370617753,0.23725722675827454,1.6681215143070387,153,218,0,3,8,0.4123989218328841
hier_nb,reference_r2,unweighted,371,23.602404148247977,23.34223894878706,0.2601651994609168,-0.011145683155404207,26.45992005243793,1.373730601678371,2.3993062041838376,1.4412337163726086,0.30707551227836916,1.5635589606835252,157,214,0,3,8,0.42318059299191374
hier_nb,reference_r3,unweighted,371,23.602404148247977,23.74420201347709,-0.1417978652291104,0.0059718943238702415,26.541460832176295,1.3779639880298535,2.62491577541448,1.1914087200938037,-0.11436563250960374,1.2833515622191576,161,210,0,3,8,0.4339622641509434
hier_nb,reference_r4,unweighted,371,23.602404148247977,23.45012441239892,0.15227973584905727,-0.006493770914432373,27.299952885235236,1.417342933330972,2.4518859269514146,1.4437429264178563,0.19932757331929696,1.557682370380564,153,218,0,3,8,0.4123989218328841
climatology,reference,unweighted,371,24.3369086361186,23.48659683692722,0.850311799191374,-0.03620412974665044,31.400422381162766,1.6302287023219986,3.409473926010238,1.4613924967580272,0.9489392128102832,1.56312827349604,176,195,0,3,8,0.4743935309973046
climatology,reference_r1,unweighted,371,24.3369086361186,23.409821973045823,0.9270866630727763,-0.03960246533016054,30.433425602446,1.5800247310320235,3.1252564555075772,1.5551210566242752,1.0288727696069742,1.6660073343420967,169,202,0,3,8,0.4555256064690027
climatology,reference_r2,unweighted,371,24.3369086361186,23.34223894878706,0.9946696873315368,-0.042612437029448946,32.87672195958452,1.7068743574904082,3.5169118126635417,1.5258054970329977,1.098691055127069,1.6375330743197511,174,197,0,5,8,0.46900269541778977
climatology,reference_r3,unweighted,371,24.3369086361186,23.74420201347709,0.5927066226415086,-0.024962162228281848,32.816630601350674,1.7037545696173284,3.6994813921948064,1.2741308331860792,0.6772499103390954,1.357866636249501,180,191,0,3,8,0.48517520215633425
climatology,reference_r4,unweighted,371,24.3369086361186,23.45012441239892,0.8867842237196768,-0.037815757738615785,33.63143202768924,1.7460569519160742,3.526881637982278,1.5505929082241385,0.9909431161679962,1.657740141709043,173,198,0,3,8,0.46630727762803237
persistence,reference,unweighted,371,24.879338288409706,23.48659683692722,1.3927414514824796,-0.05929941494515378,41.1717342397118,2.1375299372474914,3.7807799856866207,2.2804578697577274,1.3963595355607272,2.3737695792892834,165,206,0,2,8,0.444743935309973
persistence,reference_r1,unweighted,371,24.879338288409706,23.409821973045823,1.4695163153638817,-0.0627734938375819,40.070607389754706,2.0803622796310655,3.6894564500045752,2.3318300858187744,1.4762930923574178,2.4272650718966933,167,204,0,2,8,0.4501347708894879
persistence,reference_r2,unweighted,371,24.879338288409706,23.34223894878706,1.537099339622642,-0.06585055285377917,42.802260918498995,2.222182664506831,3.9724432925464286,2.2029818791715745,1.5461113778775122,2.294502112399299,159,212,0,2,8,0.42857142857142855
persistence,reference_r3,unweighted,371,24.879338288409706,23.74420201347709,1.1351362749326144,-0.04780688246706788,42.051845886908005,2.183223057266408,3.678133712851124,2.2917454405710527,1.1246702330895388,2.3889612200542545,166,205,0,3,8,0.4474393530997305
persistence,reference_r4,unweighted,371,24.879338288409706,23.45012441239892,1.4292138760107824,-0.06094696347346917,42.95966182956702,2.2303545126393156,4.002378098554193,2.3432571463272667,1.4383634389184405,2.4394991017613097,157,214,0,2,8,0.42318059299191374
